CMPLNT_FR_DT,MISC,LARCENY-THEFT,DRUG OFFENSE,AGGRAVATED ASSAULT,FRAUD,RAPE,ATTEMPT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MOTOR VEHICLE THEFT,BURGLARY,ARSON
2015-01-01,1,4,0,0,5,16,0,0,0,0,0
2015-01-02,1,2,0,0,0,0,0,0,0,0,0
2015-01-05,1,0,0,1,0,1,0,0,0,0,0
2015-01-07,1,0,0,0,0,0,0,0,0,0,0
2015-01-08,0,1,0,0,0,0,0,0,0,0,0
2015-01-09,0,0,0,1,0,0,0,0,0,0,0
2015-01-13,0,1,0,0,0,0,0,0,0,0,0
2015-01-16,0,0,0,0,0,1,1,0,0,0,0
2015-01-20,0,1,0,0,0,0,0,0,0,0,0
2015-01-23,0,0,0,0,0,1,0,0,0,0,0
2015-01-28,1,0,0,0,0,0,0,0,0,0,0
2015-01-30,1,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,1,0,0,0,0,0,0,0,0,0
2015-02-06,0,1,1,0,0,1,0,0,0,0,0
2015-02-10,0,0,0,0,0,1,0,0,0,0,0
2015-02-13,0,1,0,0,0,0,0,0,0,0,0
2015-02-14,0,1,0,0,0,0,0,0,0,0,0
2015-02-15,1,0,0,0,0,1,0,0,0,0,0
2015-02-19,0,2,0,0,0,0,0,0,0,0,0
2015-02-20,0,1,0,0,0,0,0,0,0,0,0
2015-02-23,0,0,0,0,0,0,1,0,0,0,0
2015-02-25,0,1,0,0,0,0,0,0,0,0,0
2015-02-26,0,1,0,0,0,0,0,0,0,0,0
2015-02-28,0,1,0,0,0,0,0,0,0,0,0
2015-03-01,0,2,0,0,0,2,0,0,0,0,0
2015-03-06,1,0,0,0,0,1,0,0,0,0,0
2015-03-08,1,0,0,1,0,0,0,0,0,0,0
2015-03-11,0,1,0,0,0,0,0,0,0,0,0
2015-03-12,0,1,0,0,0,0,0,0,0,0,0
2015-03-13,0,2,0,0,0,0,0,0,0,0,0
2015-03-14,0,1,0,0,0,1,0,0,0,0,0
2015-03-15,0,1,0,0,0,0,0,0,0,0,0
2015-03-18,1,0,0,0,0,0,0,0,0,0,0
2015-03-23,0,2,0,0,0,0,0,0,0,0,0
2015-03-24,1,0,0,0,0,1,0,0,0,0,0
2015-03-26,0,0,0,0,0,0,1,0,0,0,0
