OFNS_DESC,Category Final
HARRASSMENT 2,MISC
OTHER OFFENSES RELATED TO THEF,LARCENY-THEFT
DANGEROUS DRUGS,DRUG OFFENSE
ASSAULT 3 & RELATED OFFENSES,AGGRAVATED ASSAULT
INTOXICATED & IMPAIRED DRIVING,DRUG OFFENSE
GRAND LARCENY,LARCENY-THEFT
PETIT LARCENY,LARCENY-THEFT
FORGERY,FRAUD
FELONY ASSAULT,AGGRAVATED ASSAULT
SEX CRIMES,RAPE
OFFENSES AGAINST THE PERSON,ATTEMPT
MISCELLANEOUS PENAL LAW,MISC
CRIMINAL MISCHIEF & RELATED OF,MISC
ROBBERY,LARCENY-THEFT
CRIMINAL TRESPASS,LARCENY-THEFT
KIDNAPPING & RELATED OFFENSES,MISC
MURDER & NON-NEGL. MANSLAUGHTER,MURDER AND NON-NEGLIGENT MANSLAUGHTER
PROSTITUTION & RELATED OFFENSES,MISC
VEHICLE AND TRAFFIC LAWS,MISC
POSSESSION OF STOLEN PROPERTY,LARCENY-THEFT
GRAND LARCENY OF MOTOR VEHICLE,MOTOR VEHICLE THEFT
OFFENSES AGAINST PUBLIC ADMINI,ATTEMPT
DANGEROUS WEAPONS,MISC
OFF. AGNST PUB ORD SENSBLTY &,ATTEMPT
OFFENSES INVOLVING FRAUD,ATTEMPT
RAPE,RAPE
GAMBLING,FRAUD
ADMINISTRATIVE CODE,MISC
BURGLARY,BURGLARY
BURGLAR'S TOOLS,BURGLARY
ARSON,ARSON
UNAUTHORIZED USE OF A VEHICLE,MOTOR VEHICLE THEFT
NYS LAWS-UNCLASSIFIED FELONY,MISC
THEFT-FRAUD,LARCENY-THEFT
FRAUDS,FRAUD
OTHER STATE LAWS (NON PENAL LA,MISC
OFFENSES AGAINST PUBLIC SAFETY,ATTEMPT
THEFT OF SERVICES,LARCENY-THEFT
ANTICIPATORY OFFENSES,ATTEMPT
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,MISC
FRAUDULENT ACCOSTING,FRAUD
ALCOHOLIC BEVERAGE CONTROL LAW,MISC
PETIT LARCENY OF MOTOR VEHICLE,MOTOR VEHICLE THEFT
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",MURDER AND NON-NEGLIGENT MANSLAUGHTER
CHILD ABANDONMENT/NON SUPPORT,MISC
NYS LAWS-UNCLASSIFIED VIOLATION,MISC
DISORDERLY CONDUCT,MISC
"LOITERING/GAMBLING (CARDS, DIC",FRAUD
ENDAN WELFARE INCOMP,MISC
OFFENSES RELATED TO CHILDREN,MISC
OTHER STATE LAWS,MISC
KIDNAPPING,MISC
JOSTLING,MISC
ABORTION,MISC
INTOXICATED/IMPAIRED DRIVING,DRUG OFFENSE
,MISC
ESCAPE 3,MISC
NEW YORK CITY HEALTH CODE,DRUG OFFENSE
