Case Date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
2015-01-01,35,20,6,4,2,2,0,0,0
2015-01-02,33,9,6,3,4,9,0,0,0
2015-01-03,38,9,8,2,0,8,0,0,0
2015-01-04,33,10,9,1,3,6,0,0,0
2015-01-05,47,8,8,5,6,4,0,0,0
2015-01-06,47,6,8,1,7,7,0,0,0
2015-01-07,29,4,10,1,10,9,1,0,0
2015-01-08,37,10,11,0,9,10,0,0,0
2015-01-09,28,4,8,0,9,6,0,0,0
2015-01-10,35,5,9,4,1,6,0,0,0
2015-01-11,31,9,7,3,0,3,0,0,0
2015-01-12,51,8,8,4,0,2,1,0,0
2015-01-13,30,5,9,1,4,7,0,0,0
2015-01-14,33,8,4,3,4,3,0,0,0
2015-01-15,34,3,9,1,5,3,0,0,0
2015-01-16,23,4,12,2,5,7,0,0,0
2015-01-17,25,8,9,1,5,4,0,0,0
2015-01-18,26,14,8,5,1,3,0,0,0
2015-01-19,33,8,8,2,2,3,0,0,0
2015-01-20,34,4,11,0,6,7,0,0,0
2015-01-21,39,10,13,1,3,2,1,0,0
2015-01-22,39,9,8,4,4,14,0,1,0
2015-01-23,41,9,13,2,2,9,0,0,0
2015-01-24,32,8,9,4,4,3,0,0,0
2015-01-25,32,7,3,2,0,3,0,0,0
2015-01-26,28,7,15,6,3,5,0,0,0
2015-01-27,34,4,10,2,8,10,0,0,0
2015-01-28,30,7,3,1,7,9,0,0,0
2015-01-29,28,4,9,1,8,2,0,0,0
2015-01-30,29,3,14,1,4,4,0,0,0
2015-01-31,23,10,5,2,1,11,0,0,0
2015-02-01,16,8,4,2,1,3,0,0,0
2015-02-02,43,5,5,0,9,6,0,0,0
2015-02-03,39,2,8,3,8,6,1,0,0
2015-02-04,43,7,9,2,6,11,0,0,0
2015-02-05,39,4,11,1,7,6,0,0,0
2015-02-06,33,2,7,2,6,6,0,0,0
2015-02-07,22,5,5,0,2,6,0,0,0
2015-02-08,23,9,4,1,1,4,0,0,0
2015-02-09,33,2,10,2,7,2,1,0,0
2015-02-10,40,8,4,1,5,11,0,0,0
2015-02-11,34,3,5,3,6,3,0,0,0
2015-02-12,27,2,11,4,3,17,1,0,0
2015-02-13,22,5,3,2,6,9,0,0,0
2015-02-14,23,9,2,4,3,6,0,0,0
2015-02-15,21,10,3,2,1,8,0,0,0
2015-02-16,24,7,6,5,5,4,0,0,0
2015-02-17,42,7,8,3,6,8,0,0,0
2015-02-18,53,4,5,5,8,5,0,0,0
2015-02-19,29,6,6,2,3,7,0,0,0
2015-02-20,34,3,6,3,2,7,1,0,0
2015-02-21,18,7,5,2,0,4,0,0,0
2015-02-22,20,8,8,6,0,2,0,0,0
2015-02-23,40,9,11,2,7,5,0,0,0
2015-02-24,32,7,4,2,9,7,0,0,0
2015-02-25,41,8,7,1,3,9,0,0,0
2015-02-26,30,9,7,2,8,5,0,1,0
2015-02-27,25,6,8,1,9,5,0,0,0
2015-02-28,17,10,1,4,1,8,0,0,0
2015-03-01,24,6,7,1,0,1,0,0,0
2015-03-02,46,9,10,1,2,7,0,0,0
2015-03-03,29,3,11,3,4,11,0,0,0
2015-03-04,26,8,6,0,7,10,0,0,0
2015-03-05,37,5,15,3,1,19,0,1,0
2015-03-06,39,6,5,3,6,11,0,0,0
2015-03-07,29,11,1,2,1,5,0,0,0
2015-03-08,18,14,2,0,2,3,0,0,0
2015-03-09,43,6,6,1,6,8,0,0,0
2015-03-10,36,3,9,5,6,15,0,0,0
2015-03-11,32,2,7,2,1,12,0,0,0
2015-03-12,36,4,8,5,5,10,0,0,0
2015-03-13,36,9,7,2,5,10,0,0,0
2015-03-14,26,13,5,1,0,6,0,0,0
2015-03-15,18,15,4,4,3,6,0,0,0
2015-03-16,42,7,4,3,5,5,1,0,0
2015-03-17,34,13,13,5,6,8,0,0,0
2015-03-18,44,7,4,3,3,10,0,0,0
2015-03-19,39,9,15,2,1,14,0,0,0
2015-03-20,38,12,6,3,2,6,0,0,0
2015-03-21,27,6,5,1,1,6,0,0,0
2015-03-22,18,10,4,3,2,2,0,0,0
2015-03-23,36,7,2,3,1,3,0,0,0
2015-03-24,35,7,6,3,3,7,0,0,0
2015-03-25,33,3,6,5,0,8,0,0,0
2015-03-26,32,5,10,3,3,12,0,0,0
2015-03-27,39,7,7,6,6,6,0,0,0
2015-03-28,28,6,3,1,1,14,0,0,0
2015-03-29,22,6,7,0,2,6,0,1,0
2015-03-30,28,7,9,4,5,6,0,1,0
2015-03-31,46,11,7,4,3,9,1,0,0
2015-04-01,32,11,6,4,2,8,0,0,0
2015-04-02,39,5,10,5,8,7,0,0,0
2015-04-03,36,9,8,3,5,3,0,0,0
2015-04-04,30,4,7,4,2,4,2,0,0
2015-04-05,16,11,10,1,1,4,0,0,0
2015-04-06,41,11,13,6,4,3,0,0,0
2015-04-07,37,7,7,4,4,4,1,0,0
2015-04-08,33,6,6,5,6,10,0,0,0
2015-04-09,39,10,6,2,11,8,0,0,0
2015-04-10,35,9,6,3,8,8,0,0,0
2015-04-11,33,9,5,2,3,6,0,0,0
2015-04-12,23,5,1,0,0,4,0,0,0
2015-04-13,35,10,6,5,3,4,1,0,1
2015-04-14,36,5,11,2,9,15,1,0,0
2015-04-15,33,5,7,4,10,8,0,0,0
2015-04-16,23,6,7,0,8,6,0,0,1
2015-04-17,30,10,10,1,3,4,0,0,0
2015-04-18,31,10,7,4,3,3,0,0,0
2015-04-19,27,4,4,8,1,5,0,0,0
2015-04-20,47,3,14,1,6,2,1,0,0
2015-04-21,31,5,10,3,5,11,0,0,0
2015-04-22,32,7,8,1,3,8,0,0,0
2015-04-23,30,5,10,3,1,6,0,0,0
2015-04-24,33,6,7,2,7,13,0,0,0
2015-04-25,27,6,7,3,2,8,0,0,0
2015-04-26,31,7,4,1,2,3,1,0,1
2015-04-27,33,7,8,4,5,10,0,0,1
2015-04-28,29,4,9,4,5,6,0,0,0
2015-04-29,40,5,13,4,6,11,0,0,0
2015-04-30,30,8,8,2,6,8,0,0,0
2015-05-01,32,8,6,3,4,7,0,0,0
2015-05-02,23,6,5,0,0,5,0,0,0
2015-05-03,26,9,7,3,0,4,0,0,0
2015-05-04,34,7,9,5,8,0,0,0,0
2015-05-05,30,8,9,5,6,4,0,0,0
2015-05-06,44,5,14,4,1,8,0,0,0
2015-05-07,32,8,3,2,8,6,0,0,0
2015-05-08,29,3,8,2,1,8,0,0,0
2015-05-09,23,5,8,3,2,7,0,0,0
2015-05-10,37,7,9,1,1,4,1,0,0
2015-05-11,37,8,9,4,5,6,0,0,0
2015-05-12,43,2,8,1,8,11,0,0,0
2015-05-13,27,9,11,4,7,11,1,0,0
2015-05-14,25,8,5,1,4,12,0,0,0
