CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
828850568,105,QUEENS,1/1/2016,0:01:00,6/29/2018,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,675,VIOLATION,INSIDE,ADMINISTRATIVE CODE,,PATROL BORO QUEENS SOUTH,879,"ADM.CODE,UNCLASSIFIED VIOLATIO",RESIDENCE-HOUSE,6/29/2018,,UNKNOWN,UNKNOWN,U,,65+,BLACK,F,1057423,191180,40.69112744,-73.7361412,"(40.691127442, -73.736141197)"
406024866,60,BROOKLYN,1/1/2016,0:01:00,,,COMPLETED,,289,2,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,6/25/2018,,,,,,<18,WHITE HISPANIC,F,990922,149184,40.5761573,-73.9759838,"(40.5761573, -73.9759838)"
728840501,32,MANHATTAN,11/24/2016,15:00:00,6/13/2018,15:00:00,COMPLETED,RANGEL,738,2,N.Y. HOUSING POLICE,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,PATROL BORO MAN NORTH,349,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - PUBLIC HOUSING,6/13/2018,,UNKNOWN,UNKNOWN,U,,45-64,BLACK,F,1002118,242744,40.83294176,-73.93543259,"(40.832941761, -73.935432593)"
714465730,120,STATEN ISLAND,1/1/2016,8:00:00,12/31/2016,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO STATEN ISLAND,175,"SEXUAL ABUSE 3,2",STORE UNCLASSIFIED,6/9/2018,,,,,,<18,UNKNOWN,F,962748,174174,40.64472613,-74.07748316,"(40.644726131, -74.077483159)"
136972642,70,BROOKLYN,1/1/2016,1:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,6/7/2018,,UNKNOWN,WHITE,M,,UNKNOWN,WHITE,F,991547,168934,40.63036655,-73.97371261,"(40.630366545, -73.973712613)"
981127892,113,QUEENS,7/4/2016,0:01:00,7/12/2016,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO QUEENS SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,6/6/2018,,UNKNOWN,ASIAN/PAC.ISL,M,,<18,BLACK,F,1046367,186986,40.67970041,-73.77604737,"(40.679700408, -73.776047368)"
597201802,52,BRONX,1/1/2016,0:01:00,5/25/2018,0:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,5/30/2018,,45-64,BLACK HISPANIC,F,,<18,UNKNOWN,F,1017542,255919,40.86905853,-73.87963015,"(40.869058532, -73.879630148)"
856795654,75,BROOKLYN,1/1/2016,0:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,5/27/2018,,<18,UNKNOWN,M,,<18,UNKNOWN,M,1017141,183798,40.67110691,-73.88143296,"(40.671106911, -73.881432957)"
242262443,121,STATEN ISLAND,11/11/2016,12:00:00,11/11/2016,13:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,FRONT OF,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO STATEN ISLAND,639,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,5/22/2018,,18-24,WHITE,F,,25-44,WHITE HISPANIC,F,931376,154417,40.59036565,-74.1903761,"(40.59036565, -74.190376103)"
901953344,107,QUEENS,9/5/2016,4:00:00,4/23/2018,0:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO QUEENS SOUTH,101,ASSAULT 3,RESIDENCE - APT. HOUSE,5/17/2018,,18-24,BLACK,F,,45-64,BLACK,M,1042907,199293,40.71350377,-73.78841469,"(40.713503773, -73.788414686)"
