Date,MOTOR VEHICLE THEFT,LARCENY-THEFT,RAPE,DRUG OFFENSE,BURGLARY,AGGRAVATED ASSAULT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ROBBERY,ARSON
01/01/2016,11,85,18,4,32,11,1,0,0
01/01/2017,20,92,10,5,22,7,1,4,0
01/01/2018,26,81,8,7,26,11,0,4,0
01/02/2016,21,52,1,7,15,6,0,2,2
01/02/2017,20,57,2,3,23,5,0,0,0
01/02/2018,20,58,0,6,24,4,0,3,0
01/03/2016,16,65,2,5,18,4,0,8,0
01/03/2017,9,73,0,2,36,3,0,2,0
01/03/2018,12,49,0,2,19,10,0,2,0
01/04/2016,19,77,1,7,27,3,0,3,0
01/04/2017,15,64,0,7,21,4,0,2,1
01/04/2018,20,59,2,7,22,1,0,9,0
01/05/2016,20,49,0,10,38,2,1,2,0
01/05/2017,17,56,1,7,31,4,0,3,0
01/05/2018,19,73,2,8,24,10,0,10,0
01/06/2016,22,68,2,4,38,3,0,3,0
01/06/2017,14,63,3,7,26,5,0,1,0
01/06/2018,10,62,3,8,30,9,0,8,1
01/07/2016,13,70,0,12,22,4,0,6,0
01/07/2017,20,55,2,2,21,4,1,4,0
01/07/2018,16,67,2,7,11,2,0,1,0
01/08/2016,19,61,2,10,44,5,1,3,1
01/08/2017,18,65,1,2,22,8,1,6,0
01/08/2018,23,69,3,4,19,2,1,5,0
01/09/2016,14,58,4,3,20,7,1,6,0
01/09/2017,22,56,1,3,19,4,0,4,1
01/09/2018,16,65,1,1,27,4,1,7,0
01/10/2016,10,53,1,3,18,7,0,8,0
01/10/2017,15,60,1,6,26,3,0,7,1
01/10/2018,16,71,1,8,22,5,0,4,0
01/11/2016,13,53,3,4,30,7,0,1,0
01/11/2017,9,66,1,10,31,2,0,2,0
01/11/2018,13,69,3,6,23,4,0,6,1
01/12/2016,20,53,0,7,22,4,0,5,0
01/12/2017,9,71,2,6,37,6,0,6,0
01/12/2018,22,83,2,8,42,2,0,5,0
01/13/2016,12,53,1,10,27,4,0,0,0
01/13/2017,18,74,1,9,37,7,0,0,0
01/13/2018,16,78,3,6,17,8,0,6,0
01/14/2016,9,56,5,4,22,4,0,7,0
01/14/2017,25,56,0,5,33,11,0,2,0
01/14/2018,23,62,3,5,30,3,1,5,1
01/15/2016,15,67,0,7,37,3,1,5,1
01/15/2017,21,54,1,5,16,4,0,1,1
01/15/2018,27,70,3,7,21,6,0,6,1
01/16/2016,8,68,2,5,24,6,1,3,1
01/16/2017,26,78,1,2,29,8,0,6,0
01/16/2018,15,75,0,6,24,6,0,7,1
01/17/2016,17,61,0,5,16,9,1,1,0
01/17/2017,15,77,0,9,26,6,0,3,1
01/17/2018,16,74,1,5,28,4,0,1,2
01/18/2016,13,56,3,3,22,8,0,2,0
01/18/2017,15,57,2,4,23,6,0,3,0
01/18/2018,25,81,4,11,38,10,0,7,0
01/19/2016,17,63,2,6,25,4,0,5,0
01/19/2017,5,61,2,13,25,6,0,2,1
01/19/2018,22,56,5,7,21,4,0,2,0
01/20/2016,16,89,0,5,32,7,0,7,0
01/20/2017,14,57,2,4,49,6,0,3,0
01/20/2018,17,65,2,5,16,8,0,8,0
01/21/2016,19,87,0,9,28,3,0,3,1
01/21/2017,18,66,1,0,23,3,1,1,0
01/21/2018,12,70,3,7,20,9,0,4,0
01/22/2016,14,76,3,1,39,4,0,3,0
01/22/2017,13,58,4,3,15,12,0,6,0
01/22/2018,15,51,2,8,23,2,0,6,0
01/23/2016,16,68,1,3,26,7,0,6,0
01/23/2017,14,64,1,1,32,4,0,8,0
01/23/2018,12,71,0,3,22,8,1,5,0
01/24/2016,25,56,1,2,21,6,0,3,0
01/24/2017,21,54,1,4,28,9,0,1,0
01/24/2018,17,60,0,3,23,4,0,3,0
01/25/2016,17,81,0,5,39,5,0,3,0
01/25/2017,17,70,0,4,26,4,0,6,0
01/25/2018,20,71,3,9,24,5,0,5,0
01/26/2016,12,70,2,6,27,7,0,5,0
01/26/2017,16,65,1,10,24,2,0,2,0
01/26/2018,18,84,1,7,30,5,0,3,1
01/27/2016,17,69,0,4,35,8,0,2,2
01/27/2017,25,87,2,5,27,1,1,5,2
01/27/2018,25,87,1,6,16,7,0,3,2
01/28/2016,17,65,2,7,35,8,1,2,0
01/28/2017,15,68,2,3,29,2,0,4,0
01/28/2018,15,68,2,7,18,13,1,4,3
01/29/2016,17,78,1,6,28,2,0,6,0
01/29/2017,17,51,2,1,11,5,0,4,0
01/29/2018,18,67,1,12,18,4,1,3,0
01/30/2016,16,56,2,3,24,7,0,3,0
01/30/2017,12,64,0,5,35,2,0,4,0
01/30/2018,16,73,1,7,26,7,0,3,3
01/31/2016,13,64,3,4,20,5,0,4,0
01/31/2017,16,65,1,1,30,8,1,5,1
01/31/2018,14,70,0,4,32,3,0,4,1
02/01/2016,12,79,7,5,42,5,0,2,1
02/01/2017,11,81,7,5,34,12,0,5,0
02/01/2018,20,87,4,4,31,12,1,11,0
02/02/2016,12,68,1,10,23,6,0,1,0
02/02/2017,17,63,2,10,25,7,1,1,0
02/02/2018,12,68,3,9,33,11,0,3,2
02/03/2016,13,62,1,10,25,6,0,3,0
02/03/2017,15,65,2,6,40,4,0,2,0
02/03/2018,15,61,2,10,17,9,0,4,1
02/04/2016,14,58,1,10,27,4,0,4,0
02/04/2017,16,64,3,2,29,3,0,3,0
02/04/2018,11,70,3,5,20,12,0,3,0
02/05/2016,16,64,1,10,36,5,0,5,0
02/05/2017,20,53,2,1,17,7,0,2,0
02/05/2018,12,68,0,6,25,10,0,5,0
02/06/2016,15,53,1,5,22,8,1,2,0
02/06/2017,12,68,1,3,26,6,0,3,0
02/06/2018,16,60,1,12,36,5,0,4,0
02/07/2016,17,57,2,4,18,3,0,7,0
02/07/2017,18,47,5,7,27,8,0,4,1
02/07/2018,16,57,0,9,21,9,0,4,1
02/08/2016,14,57,2,3,17,9,0,3,0
02/08/2017,19,62,0,7,32,7,0,3,0
02/08/2018,9,66,2,9,24,13,0,2,1
