Occurred Date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
2015-01-01,10,4,0,8,45,26,54,13,0
2015-01-02,2,5,0,3,35,15,28,16,0
2015-01-03,1,4,0,2,39,19,27,9,0
2015-01-04,5,3,0,2,45,14,27,15,0
2015-01-05,0,5,0,1,56,18,30,11,0
2015-01-06,0,4,0,2,46,22,38,21,0
2015-01-07,2,2,0,1,65,18,40,9,0
2015-01-08,4,4,0,0,38,27,36,9,0
2015-01-09,2,3,0,1,42,19,36,12,0
2015-01-10,5,0,0,3,74,13,43,7,0
2015-01-11,9,2,0,0,38,8,37,10,0
2015-01-12,2,4,0,1,44,16,34,9,0
2015-01-13,10,2,0,1,36,13,39,9,0
2015-01-14,5,2,0,3,47,22,35,17,0
2015-01-15,3,4,0,1,58,21,51,11,0
2015-01-16,5,1,0,6,41,20,35,12,0
2015-01-17,7,1,0,1,61,22,36,14,0
2015-01-18,6,0,0,1,49,23,47,9,0
2015-01-19,8,0,0,0,54,12,38,17,0
2015-01-20,4,7,0,1,34,23,47,8,1
2015-01-21,8,3,0,0,61,19,40,14,0
2015-01-22,5,5,0,2,48,21,28,10,0
2015-01-23,5,1,0,0,57,20,40,15,1
2015-01-24,6,2,0,0,43,10,36,18,0
2015-01-25,11,1,0,2,55,15,31,16,1
2015-01-26,3,3,0,1,37,11,37,18,0
2015-01-27,4,0,0,5,47,18,39,10,1
2015-01-28,7,12,0,4,44,8,41,8,1
2015-01-29,1,4,0,2,46,25,40,7,0
2015-01-30,5,4,0,1,62,13,49,9,0
2015-01-31,6,2,0,3,45,19,43,18,0
2015-02-01,14,3,0,0,76,17,46,8,0
2015-02-02,5,5,0,1,30,17,29,10,0
2015-02-03,2,12,0,1,37,20,37,12,0
2015-02-04,5,4,0,5,49,13,33,10,0
2015-02-05,3,3,0,3,31,19,48,22,0
2015-02-06,4,3,0,1,36,16,33,16,0
2015-02-07,4,4,0,2,42,16,34,8,0
2015-02-08,10,2,0,1,54,9,32,14,0
2015-02-09,2,5,0,1,43,15,33,12,0
2015-02-10,6,11,0,2,63,15,46,10,0
2015-02-11,5,3,0,2,36,17,33,11,0
2015-02-12,10,19,0,1,49,16,37,9,1
2015-02-13,6,3,0,1,38,21,48,10,0
2015-02-14,4,2,1,0,39,21,37,9,0
2015-02-15,8,6,1,4,80,16,37,7,0
2015-02-16,5,2,0,2,38,16,29,14,0
2015-02-17,4,8,0,2,43,15,36,9,0
2015-02-18,7,1,0,1,28,16,30,6,0
2015-02-19,5,6,0,0,46,19,51,5,1
2015-02-20,3,4,0,3,47,15,54,20,1
2015-02-21,7,2,0,2,56,13,42,8,0
2015-02-22,7,1,0,1,38,12,38,10,0
2015-02-23,6,2,0,1,40,24,45,10,0
2015-02-24,9,5,0,1,33,26,39,7,0
2015-02-25,6,4,0,0,37,13,41,8,1
2015-02-26,7,14,0,2,45,17,34,6,1
2015-02-27,1,11,0,4,51,25,42,13,0
2015-02-28,9,5,0,2,50,15,40,12,0
2015-03-01,12,1,0,3,45,23,28,4,0
2015-03-02,4,9,0,1,48,17,28,12,0
2015-03-03,5,3,0,1,30,15,36,14,0
2015-03-04,4,3,0,3,35,22,37,14,0
2015-03-05,4,6,0,1,47,18,47,16,0
2015-03-06,5,1,0,2,44,13,40,9,0
2015-03-07,8,1,0,1,59,9,34,13,1
2015-03-08,5,1,1,0,43,13,37,17,0
2015-03-09,5,3,0,3,33,16,38,8,1
2015-03-10,9,17,0,2,32,23,35,7,0
2015-03-11,4,6,0,1,35,19,44,10,0
2015-03-12,9,16,0,1,37,21,32,8,0
2015-03-13,5,4,0,4,44,29,47,10,0
2015-03-14,5,2,1,2,40,26,44,17,0
2015-03-15,3,3,1,1,33,22,33,10,0
2015-03-16,5,3,0,1,43,14,34,14,0
2015-03-17,6,2,0,2,36,23,41,11,0
2015-03-18,4,4,0,1,42,16,46,13,2
2015-03-19,1,16,1,3,47,19,48,10,0
2015-03-20,5,1,0,3,50,19,41,6,0
2015-03-21,2,4,0,0,63,18,34,11,0
2015-03-22,3,2,0,1,59,15,33,12,0
2015-03-23,3,0,0,1,41,16,35,15,0
2015-03-24,2,2,0,0,44,26,44,14,0
2015-03-25,3,3,0,1,46,25,42,10,0
2015-03-26,4,3,0,1,55,11,40,9,0
2015-03-27,1,2,0,2,53,24,51,14,0
2015-03-28,7,4,0,1,48,21,36,11,0
2015-03-29,6,0,0,2,36,18,31,13,0
2015-03-30,2,3,0,6,49,18,37,7,0
2015-03-31,4,5,0,1,53,27,43,13,0
2015-04-01,6,6,0,5,37,25,49,11,0
2015-04-02,2,7,0,1,47,18,28,4,0
2015-04-03,6,5,0,1,56,22,48,7,0
2015-04-04,5,1,0,3,41,15,45,9,0
2015-04-05,7,6,0,2,64,14,24,8,0
2015-04-06,5,1,0,0,33,10,32,9,0
2015-04-07,2,3,0,1,40,23,37,12,1
2015-04-08,8,3,0,1,39,25,38,13,0
2015-04-09,5,1,0,2,36,22,42,8,1
2015-04-10,2,0,0,2,82,20,43,14,0
2015-04-11,6,1,0,3,47,17,48,11,0
2015-04-12,8,0,0,4,52,13,35,13,0
2015-04-13,6,0,0,3,35,29,38,8,0
2015-04-14,2,3,0,2,38,17,47,14,0
2015-04-15,3,0,0,3,32,19,41,8,0
2015-04-16,8,1,0,1,44,19,39,10,0
2015-04-17,3,2,0,0,59,22,45,20,0
2015-04-18,5,4,0,1,46,22,44,12,0
2015-04-19,12,1,0,3,41,19,32,10,1
2015-04-20,4,1,0,3,49,28,47,11,1
2015-04-21,6,2,0,0,51,16,29,8,0
2015-04-22,5,13,0,4,60,19,36,13,0
2015-04-23,5,5,0,1,50,22,29,18,0
2015-04-24,0,2,0,4,39,23,30,13,0
2015-04-25,4,1,0,3,50,20,40,10,0
2015-04-26,5,0,0,4,38,14,30,8,0
2015-04-27,4,2,0,0,55,26,30,15,0
2015-04-28,1,2,0,2,59,14,33,18,0
2015-04-29,8,0,0,1,51,24,26,10,1
2015-04-30,8,0,1,2,41,24,43,13,0
2015-05-01,7,0,0,3,52,41,33,13,0
2015-05-02,8,1,0,2,43,21,26,10,1
2015-05-03,6,1,0,3,46,13,35,8,0
2015-05-04,3,2,0,1,39,20,38,7,0
2015-05-05,4,1,0,2,48,21,39,9,0
2015-05-06,6,4,0,2,33,26,39,11,0
2015-05-07,7,4,0,0,43,30,39,11,0
2015-05-08,5,3,0,4,45,24,52,9,0
2015-05-09,5,2,0,3,58,23,36,8,0
2015-05-10,10,3,0,1,38,16,31,12,0
2015-05-11,2,5,0,2,51,25,45,7,0
2015-05-12,2,4,0,2,50,28,30,10,0
2015-05-13,6,3,0,0,61,24,35,9,1
2015-05-14,6,2,0,2,48,23,48,6,0
2015-05-15,5,2,0,3,69,24,53,16,0
2015-05-16,6,0,0,3,48,16,42,17,0
2015-05-17,4,1,0,3,58,15,29,16,0
2015-05-18,2,1,0,5,33,18,42,7,1
2015-05-19,4,1,0,1,51,23,33,12,1
2015-05-20,7,0,0,2,46,18,36,7,0
2015-05-21,2,3,0,6,66,27,49,8,2
2015-05-22,6,2,0,4,30,27,52,16,0
2015-05-23,12,3,0,2,49,28,31,14,0
2015-05-24,5,2,0,2,51,19,39,4,0
2015-05-25,7,4,0,0,59,22,26,4,0
2015-05-26,8,3,0,3,47,20,46,14,0
2015-05-27,3,4,0,2,53,16,49,2,0
2015-05-28,5,3,0,1,34,13,46,5,0
2015-05-29,8,2,0,2,52,28,42,12,0
2015-05-30,7,0,0,1,52,24,47,12,1
2015-05-31,8,2,0,1,43,23,36,9,0
2015-06-01,7,7,0,2,46,33,40,6,0
2015-06-02,3,4,0,2,48,20,28,9,0
