Crime Date,BURGLARY,THEFT,AGGRAVATED ASSAULT, RAPE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC,DRUG OFFENSE,FRAUD, MOTOR VEHICLE THEFT,ARSON
1/1/2015,14,65,5,0,0,8,0,1,0,0
1/1/2016,18,55,13,5,0,22,1,2,0,0
1/1/2017,42,83,64,4,0,160,79,1,1,0
1/1/2018,32,50,49,4,0,96,61,3,1,1
1/10/2015,4,70,5,1,0,0,0,0,0,0
1/10/2016,17,68,7,1,0,1,0,0,0,0
1/10/2017,39,50,36,1,0,99,69,4,0,1
1/10/2018,44,56,39,1,0,79,51,3,2,0
1/11/2015,6,56,4,0,0,0,0,0,0,0
1/11/2016,28,77,5,0,0,2,0,0,0,0
1/11/2017,39,57,40,0,0,115,75,3,1,1
1/11/2018,37,51,32,1,0,79,47,4,1,0
1/12/2015,16,118,1,1,0,0,0,0,0,0
1/12/2016,21,75,4,0,0,0,0,0,0,0
1/12/2017,59,51,42,0,0,102,70,7,1,0
1/12/2018,36,47,31,2,0,98,47,3,2,0
1/13/2015,14,90,5,0,0,0,0,0,0,0
1/13/2016,18,71,5,3,0,0,0,0,0,0
1/13/2017,45,67,39,2,0,127,76,8,1,0
1/13/2018,33,50,45,0,0,57,53,2,0,0
1/14/2015,20,117,4,2,0,0,0,0,0,0
1/14/2016,19,66,4,1,0,0,0,0,0,0
1/14/2017,37,45,42,3,0,96,71,2,0,0
1/14/2018,30,44,31,3,0,70,53,2,1,1
1/15/2015,25,70,2,3,0,0,0,0,0,0
1/15/2016,23,77,6,3,0,0,0,0,0,0
1/15/2017,27,58,42,4,1,98,53,1,1,0
1/15/2018,34,44,31,3,0,75,55,4,0,0
1/16/2015,20,80,2,3,0,0,0,0,0,0
1/16/2016,14,73,6,2,0,0,0,0,0,0
1/16/2017,42,46,46,2,0,85,55,3,1,0
1/16/2018,37,40,28,2,0,59,36,1,0,1
1/17/2015,21,41,5,0,0,0,0,0,0,0
1/17/2016,16,65,6,1,0,1,0,0,0,0
1/17/2017,56,46,26,3,0,98,46,7,1,0
1/17/2018,45,48,25,1,0,70,44,11,0,0
1/18/2015,6,65,7,0,0,0,0,0,0,0
1/18/2016,24,103,3,2,0,1,0,0,0,0
1/18/2017,57,41,34,2,1,118,51,3,1,0
1/18/2018,49,50,21,1,0,99,44,4,1,1
1/19/2015,13,71,4,2,1,0,0,0,0,0
1/19/2016,22,103,4,2,0,2,0,0,0,0
