date,Count,AGGRIVATED ASSAULT,BURGLARY,RAPE,THEFT,FRAUD,MISC,MOTOR VEHICLE THEFT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ATTEMPT,ARSON,DRUG OFFENSE,OBSCENITY,CONCEALED CARRY LICENSE VIOLATION
1/1/2016,1046,195,33,17,62,50,139,22,3,3,1,21,2,0
1/1/2017,1094,188,60,21,86,43,158,29,2,4,0,12,1,0
1/1/2018,815,151,48,12,71,29,125,44,4,3,0,17,0,0
1/2/2016,574,114,47,8,80,27,110,22,0,1,0,27,0,0
1/2/2017,611,130,59,7,73,30,126,32,1,3,3,25,0,0
1/2/2018,554,103,42,2,79,29,102,42,0,1,0,25,0,0
1/3/2016,618,139,62,4,75,21,123,23,1,0,1,29,0,0
1/3/2017,716,143,67,3,85,41,130,28,2,3,1,35,0,1
1/3/2018,564,107,52,4,92,30,107,22,0,3,1,32,0,0
1/4/2016,625,117,70,6,73,29,121,25,1,2,2,23,0,0
1/4/2017,611,111,53,1,99,33,120,32,2,2,1,23,0,2
1/4/2018,597,119,54,0,87,30,127,42,0,4,2,21,0,0
1/5/2016,623,131,59,4,91,31,97,19,5,0,0,38,0,0
1/5/2017,610,108,51,5,71,43,125,36,1,4,1,23,0,1
1/5/2018,659,138,50,6,95,41,115,38,1,2,0,28,0,0
1/6/2016,626,128,61,6,88,32,125,20,1,2,2,33,0,0
1/6/2017,596,109,60,3,73,29,130,44,1,2,1,28,0,0
1/6/2018,585,143,45,7,79,31,120,28,2,3,0,21,0,0
1/7/2016,706,125,63,7,86,37,134,23,2,1,1,39,0,0
1/7/2017,617,140,57,6,77,36,124,39,1,2,0,29,0,0
1/7/2018,535,135,60,2,69,23,107,28,2,2,0,18,1,0
1/8/2016,742,132,79,4,92,28,149,23,2,3,2,48,0,0
1/8/2017,588,138,50,5,71,20,135,43,0,4,1,25,0,0
1/8/2018,618,120,59,3,105,26,114,24,0,3,0,41,0,0
1/9/2016,648,145,61,8,76,25,125,20,2,2,2,35,0,0
1/9/2017,709,118,70,3,96,33,148,40,2,3,0,34,0,0
1/9/2018,653,127,70,2,96,36,111,33,4,1,2,45,0,0
1/10/2016,595,126,65,5,76,27,125,23,0,3,0,28,0,0
1/10/2017,704,125,69,7,85,43,148,19,0,3,0,21,0,0
1/10/2018,705,135,54,4,98,27,145,22,2,3,0,40,1,0
1/11/2016,512,111,64,2,76,28,81,32,1,0,1,16,0,0
1/11/2017,658,139,55,4,93,38,137,31,3,3,0,28,0,0
1/11/2018,698,145,54,4,100,40,153,21,3,6,1,30,0,0
1/12/2016,547,104,50,7,70,29,104,33,0,2,1,32,1,0
1/12/2017,644,112,63,4,88,32,153,23,1,3,1,23,0,0
1/12/2018,703,130,62,6,109,43,144,36,1,3,0,39,0,0
1/13/2016,653,109,65,5,76,40,129,30,3,1,1,34,0,0
1/13/2017,798,138,91,5,103,39,150,38,3,4,2,36,0,0
1/13/2018,616,150,55,6,86,39,122,30,0,4,1,26,0,0
1/14/2016,733,141,70,12,79,30,138,23,1,2,3,44,0,0
