date,LARCENY-THEFT,AGGRAVATED ASSAULT,BURGLARY,MOTOR VEHICLE THEFT,FRAUD,DRUG OFFENSE,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC
1/1/2015,35,20,6,4,2,2,0,0,0
1/2/2015,33,9,6,3,4,9,0,0,0
1/3/2015,38,9,8,2,0,8,0,0,0
1/4/2015,33,10,9,1,3,6,0,0,0
1/5/2015,47,8,8,5,6,4,0,0,0
1/6/2015,47,6,8,1,7,7,0,0,0
1/7/2015,29,4,10,1,10,9,1,0,0
1/8/2015,37,10,11,0,9,10,0,0,0
1/9/2015,28,4,8,0,9,6,0,0,0
1/10/2015,35,5,9,4,1,6,0,0,0
1/11/2015,31,9,7,3,0,3,0,0,0
1/12/2015,51,8,8,4,0,2,1,0,0
1/13/2015,30,5,9,1,4,7,0,0,0
1/14/2015,33,8,4,3,4,3,0,0,0
1/15/2015,34,3,9,1,5,3,0,0,0
1/16/2015,23,4,12,2,5,7,0,0,0
1/17/2015,25,8,9,1,5,4,0,0,0
1/18/2015,26,14,8,5,1,3,0,0,0
1/19/2015,33,8,8,2,2,3,0,0,0
1/20/2015,34,4,11,0,6,7,0,0,0
1/21/2015,39,10,13,1,3,2,1,0,0
1/22/2015,39,9,8,4,4,14,0,1,0
1/23/2015,41,9,13,2,2,9,0,0,0
1/24/2015,32,8,9,4,4,3,0,0,0
1/25/2015,32,7,3,2,0,3,0,0,0
1/26/2015,28,7,15,6,3,5,0,0,0
1/27/2015,34,4,10,2,8,10,0,0,0
1/28/2015,30,7,3,1,7,9,0,0,0
1/29/2015,28,4,9,1,8,2,0,0,0
1/30/2015,29,3,14,1,4,4,0,0,0
1/31/2015,23,10,5,2,1,11,0,0,0
2/1/2015,16,8,4,2,1,3,0,0,0
2/2/2015,43,5,5,0,9,6,0,0,0
2/3/2015,39,2,8,3,8,6,1,0,0
2/4/2015,43,7,9,2,6,11,0,0,0
2/5/2015,39,4,11,1,7,6,0,0,0
2/6/2015,33,2,7,2,6,6,0,0,0
2/7/2015,22,5,5,0,2,6,0,0,0
2/8/2015,23,9,4,1,1,4,0,0,0
2/9/2015,33,2,10,2,7,2,1,0,0
2/10/2015,40,8,4,1,5,11,0,0,0
2/11/2015,34,3,5,3,6,3,0,0,0
2/12/2015,27,2,11,4,3,17,1,0,0
2/13/2015,22,5,3,2,6,9,0,0,0
2/14/2015,23,9,2,4,3,6,0,0,0
2/15/2015,21,10,3,2,1,8,0,0,0
2/16/2015,24,7,6,5,5,4,0,0,0
2/17/2015,42,7,8,3,6,8,0,0,0
2/18/2015,53,4,5,5,8,5,0,0,0
2/19/2015,29,6,6,2,3,7,0,0,0
2/20/2015,34,3,6,3,2,7,1,0,0
2/21/2015,18,7,5,2,0,4,0,0,0
2/22/2015,20,8,8,6,0,2,0,0,0
2/23/2015,40,9,11,2,7,5,0,0,0
2/24/2015,32,7,4,2,9,7,0,0,0
2/25/2015,41,8,7,1,3,9,0,0,0
2/26/2015,30,9,7,2,8,5,0,1,0
2/27/2015,25,6,8,1,9,5,0,0,0
2/28/2015,17,10,1,4,1,8,0,0,0
3/1/2015,24,6,7,1,0,1,0,0,0
3/2/2015,46,9,10,1,2,7,0,0,0
3/3/2015,29,3,11,3,4,11,0,0,0
3/4/2015,26,8,6,0,7,10,0,0,0
3/5/2015,37,5,15,3,1,19,0,1,0
