Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
1/1/2006,117,275,111,26,1,22,4,49,1
1/2/2006,87,277,109,37,4,26,3,44,2
1/3/2006,89,272,129,41,0,47,2,47,2
1/4/2006,111,304,151,32,1,28,6,66,0
1/5/2006,88,290,107,15,4,24,4,61,1
1/6/2006,95,277,119,23,4,30,3,47,1
1/7/2006,88,296,113,19,2,33,3,56,1
1/8/2006,85,350,98,25,1,32,3,45,0
1/9/2006,100,306,138,35,1,47,2,38,1
1/10/2006,92,272,118,51,1,19,2,71,0
1/11/2006,94,310,135,28,0,27,3,59,0
1/12/2006,87,345,128,38,3,32,3,73,0
1/13/2006,122,262,101,34,3,27,4,46,0
1/14/2006,85,260,109,30,0,32,3,39,2
1/15/2006,82,237,77,20,2,27,1,33,0
1/16/2006,69,356,139,33,1,31,0,31,1
1/17/2006,69,334,112,28,1,20,5,66,0
1/18/2006,92,313,108,41,1,22,0,55,2
1/19/2006,101,323,112,28,1,22,0,59,1
1/20/2006,104,295,125,22,2,28,1,77,0
1/21/2006,98,308,125,27,0,24,2,63,1
1/22/2006,88,330,108,18,0,41,3,43,1
1/23/2006,95,243,144,41,1,33,2,46,1
1/24/2006,119,286,126,41,2,29,5,66,0
1/25/2006,89,263,131,32,0,30,4,62,1
1/26/2006,91,261,109,18,1,17,4,63,1
1/27/2006,108,230,102,25,3,34,7,53,0
1/28/2006,88,332,107,18,0,24,3,46,2
1/29/2006,92,333,120,16,1,33,4,50,0
1/30/2006,108,295,151,28,2,25,5,43,1
1/31/2006,85,292,134,38,1,24,5,59,1
2/1/2006,110,352,128,19,2,28,0,78,1
2/2/2006,76,359,124,20,0,22,1,75,1
2/3/2006,84,302,130,21,0,29,3,46,3
2/4/2006,93,273,113,22,1,17,2,52,1
2/5/2006,89,317,114,17,0,26,3,47,1
2/6/2006,90,223,128,34,1,24,1,49,1
2/7/2006,113,299,105,27,1,25,3,83,2
2/8/2006,109,291,129,22,3,14,1,62,0
2/9/2006,100,222,96,26,2,25,6,61,0
2/10/2006,109,227,120,33,1,24,0,53,0
2/11/2006,68,263,89,19,2,21,0,53,1
2/12/2006,63,114,50,7,1,16,1,11,1
2/13/2006,46,182,97,25,2,29,2,27,0
2/14/2006,70,253,92,21,2,21,0,48,2
2/15/2006,93,284,94,24,2,21,2,58,1
2/16/2006,100,252,110,22,1,27,4,45,1
2/17/2006,101,221,96,31,2,35,3,64,0
2/18/2006,99,229,131,20,1,23,2,73,0
2/19/2006,92,262,78,19,1,21,3,53,0
2/20/2006,82,422,110,31,2,18,1,76,1
2/21/2006,103,289,102,29,3,30,6,48,1
2/22/2006,85,303,113,28,1,26,3,69,0
2/23/2006,98,250,102,34,0,25,4,64,1
2/24/2006,90,217,118,27,1,25,2,62,1
2/25/2006,100,259,108,26,0,22,2,56,2
2/26/2006,81,245,82,16,3,18,2,48,0
2/27/2006,87,202,123,34,2,24,1,38,0
2/28/2006,85,259,117,20,3,23,3,53,0
3/1/2006,114,277,112,18,1,28,0,57,2
3/2/2006,100,240,95,31,0,18,1,52,1
3/3/2006,77,226,85,16,0,22,6,46,1
3/4/2006,96,236,115,15,1,28,1,56,0
3/5/2006,96,353,112,16,1,26,1,71,2
3/6/2006,108,255,113,35,2,27,4,48,0
3/7/2006,98,265,110,27,2,21,2,71,0
3/8/2006,114,253,119,31,0,25,1,66,1
3/9/2006,116,261,108,33,6,32,6,59,1
3/10/2006,116,228,109,23,2,20,3,44,0
3/11/2006,119,328,114,18,1,26,1,57,3
3/12/2006,78,325,112,22,2,28,1,53,1
3/13/2006,114,285,128,40,2,26,5,48,0
3/14/2006,125,269,101,37,4,18,4,66,0
3/15/2006,107,246,94,29,3,18,3,67,0
3/16/2006,112,273,106,31,4,20,4,58,0
3/17/2006,90,244,134,31,0,33,2,44,2
3/18/2006,97,280,112,30,0,25,4,81,2
3/19/2006,92,281,118,23,2,24,1,46,0
3/20/2006,101,234,121,34,4,19,3,38,0
3/21/2006,108,289,118,28,1,27,1,54,3
3/22/2006,92,262,117,29,1,19,4,49,1
3/23/2006,113,251,142,26,2,20,0,53,2
3/24/2006,124,232,121,25,2,30,2,53,0
3/25/2006,101,254,108,28,0,28,2,54,0
3/26/2006,102,252,105,23,2,26,3,57,2
3/27/2006,128,233,142,46,1,26,5,46,1
3/28/2006,106,288,128,32,1,33,2,66,2
3/29/2006,145,271,111,23,2,18,3,55,1
3/30/2006,131,272,134,21,0,32,1,62,1
3/31/2006,120,257,107,21,2,33,2,62,1
4/1/2006,116,276,91,22,2,23,3,68,2
4/2/2006,92,271,95,15,3,10,1,55,2
4/3/2006,97,235,107,34,0,23,4,60,0
4/4/2006,89,291,131,25,2,34,4,65,0
4/5/2006,87,250,122,18,2,16,3,53,1
4/6/2006,128,256,111,29,0,25,7,61,0
4/7/2006,116,249,119,30,0,30,2,53,3
4/8/2006,82,282,98,26,3,32,4,54,2
4/9/2006,117,316,106,13,4,23,1,50,2
4/10/2006,99,409,129,30,3,24,5,45,0
4/11/2006,87,427,103,19,2,25,3,55,0
4/12/2006,99,393,131,30,0,26,5,58,0
4/13/2006,72,406,103,19,0,34,4,57,3
4/14/2006,87,354,107,14,2,28,0,61,1
4/15/2006,113,340,125,25,3,28,2,53,2
4/16/2006,106,258,100,23,2,24,6,31,1
4/17/2006,110,320,120,28,0,20,2,41,0
4/18/2006,137,305,111,32,4,21,3,72,0
4/19/2006,119,325,119,38,4,39,3,66,0
4/20/2006,120,309,124,22,0,28,2,54,1
4/21/2006,126,246,125,28,3,36,4,48,2
4/22/2006,96,199,94,34,2,26,0,39,0
4/23/2006,101,249,109,26,0,27,3,64,2
4/24/2006,124,280,140,38,0,33,3,47,0
4/25/2006,111,281,139,28,2,36,1,61,0
4/26/2006,104,275,138,31,4,21,4,83,2
4/27/2006,104,285,121,28,1,26,2,56,3
4/28/2006,115,233,127,30,2,43,3,40,2
4/29/2006,118,280,99,26,3,25,7,44,1
4/30/2006,144,269,103,20,2,30,1,37,1
5/1/2006,126,253,142,27,4,29,3,39,0
5/2/2006,117,334,136,39,4,29,0,62,0
5/3/2006,128,296,111,33,1,37,2,71,2
5/4/2006,106,309,123,27,2,18,2,59,0
5/5/2006,112,285,137,31,0,31,1,52,3
5/6/2006,110,265,117,26,5,27,2,39,2
5/7/2006,101,269,109,20,1,28,3,40,1
5/8/2006,111,242,143,42,2,27,6,42,2
5/9/2006,133,320,128,25,2,32,1,70,1
5/10/2006,124,303,122,29,3,34,3,55,1
5/11/2006,118,301,122,97,2,29,3,49,1
5/12/2006,106,267,141,24,0,34,2,31,2
5/13/2006,109,276,121,22,3,33,2,32,2
5/14/2006,95,221,114,27,6,31,4,35,1
5/15/2006,86,239,130,29,2,31,3,41,2
5/16/2006,91,297,152,21,1,32,3,37,2
5/17/2006,121,305,130,28,3,27,2,53,0
5/18/2006,99,289,142,32,0,28,1,51,0
5/19/2006,122,243,138,33,3,29,4,49,0
5/20/2006,106,283,111,33,1,19,2,50,0
5/21/2006,117,346,123,35,5,26,1,40,3
5/22/2006,128,313,164,45,1,32,1,49,0
5/23/2006,115,324,166,28,1,25,1,67,0
