date,Offense Count,MISC,ARSON,AGGRAVATED ASSAULT,FRAUD,BURGLARY,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,THEFT,MOTOR VEHICLE THEFT,RAPE
1/1/2015,44,0,0,2,13,2,0,0,7,0,3
1/1/2016,200,15,0,33,24,7,4,0,48,13,6
1/1/2017,191,19,0,25,16,14,3,0,55,21,6
1/1/2018,207,30,1,26,18,6,4,0,55,18,3
1/10/2015,1,0,0,0,0,0,0,0,0,1,0
1/10/2016,152,17,0,19,10,9,7,0,48,19,2
1/10/2017,145,12,0,13,8,18,2,0,49,17,4
1/10/2018,170,14,0,23,18,8,9,0,56,13,2
1/11/2015,3,0,0,0,0,0,0,0,3,0,0
1/11/2016,169,26,0,23,16,12,2,0,59,12,0
1/11/2017,83,6,0,10,8,4,0,0,36,12,0
1/11/2018,155,15,0,13,13,9,6,0,59,17,4
1/12/2015,2,0,0,0,0,0,0,0,1,0,1
1/12/2016,149,28,0,16,7,9,3,0,53,14,0
1/12/2017,90,12,0,13,7,4,1,0,34,9,0
1/12/2018,179,24,1,16,11,14,10,0,53,19,1
1/13/2015,3,0,0,1,1,0,0,0,0,1,0
1/13/2016,167,17,0,10,11,14,11,0,57,14,0
1/13/2017,112,13,1,18,8,9,1,0,35,11,1
1/13/2018,168,16,1,19,11,12,9,0,52,20,1
1/14/2015,1,0,0,0,1,0,0,0,0,0,0
1/14/2016,139,22,0,10,11,10,3,0,54,15,1
1/14/2017,122,18,0,14,9,6,1,0,41,14,2
1/14/2018,155,21,0,18,11,10,5,0,49,16,1
1/15/2015,4,0,0,0,2,0,0,0,0,0,0
1/15/2016,160,13,0,11,18,11,4,0,53,19,1
1/15/2017,102,9,0,11,7,9,2,0,45,9,0
1/15/2018,160,22,0,14,10,9,4,0,54,15,3
1/16/2015,3,0,0,0,0,0,0,0,2,1,0
1/16/2016,182,19,0,23,20,7,2,0,62,17,1
1/16/2017,104,11,1,14,7,5,4,0,37,16,1
1/16/2018,166,18,1,18,12,9,3,0,66,14,2
1/17/2016,109,15,0,18,8,4,2,0,37,13,0
1/17/2017,117,14,0,19,14,7,0,0,35,14,0
1/17/2018,183,18,0,19,16,14,4,0,64,18,1
1/18/2015,1,0,0,0,1,0,0,0,0,0,0
1/18/2016,158,20,1,23,11,8,8,0,58,11,0
1/18/2017,154,15,0,16,11,11,2,0,55,18,0
1/18/2018,169,26,1,15,8,10,8,0,54,25,0
1/19/2015,6,0,0,0,3,1,0,0,2,0,0
1/19/2016,160,19,0,14,14,7,3,0,55,14,1
1/19/2017,148,15,1,16,15,7,4,0,51,23,0
1/19/2018,182,28,1,19,14,11,4,0,43,30,2
1/2/2015,1,0,0,0,0,0,0,0,1,0,0
1/2/2016,136,21,0,18,13,7,4,0,47,13,0
1/2/2017,140,17,0,19,12,11,3,0,50,14,0
1/2/2018,185,26,0,18,13,19,6,0,56,16,4
1/20/2015,2,0,0,2,0,0,0,0,0,0,0
1/20/2016,177,12,0,14,17,8,9,0,66,19,3
1/20/2017,153,14,1,16,8,8,2,0,69,17,1
1/20/2018,195,27,0,32,8,7,1,0,71,16,3
1/21/2015,1,0,0,0,0,0,0,0,1,0,0
1/21/2016,173,17,0,19,13,9,4,0,64,14,3
1/21/2017,156,10,0,24,7,10,0,0,56,23,1
1/21/2018,161,14,0,20,7,11,4,1,64,22,0
1/22/2015,2,0,0,0,0,0,0,0,2,0,0
1/22/2016,171,21,1,22,9,12,11,0,58,12,1
1/22/2017,123,15,1,15,5,3,5,0,47,13,2
1/22/2018,176,17,1,12,17,16,4,0,66,18,1
1/23/2015,1,0,0,0,0,1,0,0,0,0,0
1/23/2016,154,25,0,26,9,6,3,0,58,11,1
1/23/2017,161,14,1,20,10,9,4,0,55,14,2
1/23/2018,182,21,0,13,18,13,5,1,69,13,2
