date,AGGRAVATED ASSAULT,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,RAPE,MISC,BURGLARY,LARCENY-THEFT,MOTOR VEHICLE THEFT,ARSON
1/1/2015,10,4,0,8,45,26,54,13,0
1/2/2015,2,5,0,3,35,15,28,16,0
1/3/2015,1,4,0,2,39,19,27,9,0
1/4/2015,5,3,0,2,45,14,27,15,0
1/5/2015,0,5,0,1,56,18,30,11,0
1/6/2015,0,4,0,2,46,22,38,21,0
1/7/2015,2,2,0,1,65,18,40,9,0
1/8/2015,4,4,0,0,38,27,36,9,0
1/9/2015,2,3,0,1,42,19,36,12,0
1/10/2015,5,0,0,3,74,13,43,7,0
1/11/2015,9,2,0,0,38,8,37,10,0
1/12/2015,2,4,0,1,44,16,34,9,0
1/13/2015,10,2,0,1,36,13,39,9,0
1/14/2015,5,2,0,3,47,22,35,17,0
1/15/2015,3,4,0,1,58,21,51,11,0
1/16/2015,5,1,0,6,41,20,35,12,0
1/17/2015,7,1,0,1,61,22,36,14,0
1/18/2015,6,0,0,1,49,23,47,9,0
1/19/2015,8,0,0,0,54,12,38,17,0
1/20/2015,4,7,0,1,34,23,47,8,1
1/21/2015,8,3,0,0,61,19,40,14,0
1/22/2015,5,5,0,2,48,21,28,10,0
1/23/2015,5,1,0,0,57,20,40,15,1
1/24/2015,6,2,0,0,43,10,36,18,0
1/25/2015,11,1,0,2,55,15,31,16,1
1/26/2015,3,3,0,1,37,11,37,18,0
1/27/2015,4,0,0,5,47,18,39,10,1
1/28/2015,7,12,0,4,44,8,41,8,1
1/29/2015,1,4,0,2,46,25,40,7,0
1/30/2015,5,4,0,1,62,13,49,9,0
1/31/2015,6,2,0,3,45,19,43,18,0
2/1/2015,14,3,0,0,76,17,46,8,0
2/2/2015,5,5,0,1,30,17,29,10,0
2/3/2015,2,12,0,1,37,20,37,12,0
2/4/2015,5,4,0,5,49,13,33,10,0
2/5/2015,3,3,0,3,31,19,48,22,0
2/6/2015,4,3,0,1,36,16,33,16,0
2/7/2015,4,4,0,2,42,16,34,8,0
2/8/2015,10,2,0,1,54,9,32,14,0
2/9/2015,2,5,0,1,43,15,33,12,0
2/10/2015,6,11,0,2,63,15,46,10,0
2/11/2015,5,3,0,2,36,17,33,11,0
2/12/2015,10,19,0,1,49,16,37,9,1
2/13/2015,6,3,0,1,38,21,48,10,0
2/14/2015,4,2,1,0,39,21,37,9,0
2/15/2015,8,6,1,4,80,16,37,7,0
2/16/2015,5,2,0,2,38,16,29,14,0
2/17/2015,4,8,0,2,43,15,36,9,0
2/18/2015,7,1,0,1,28,16,30,6,0
2/19/2015,5,6,0,0,46,19,51,5,1
2/20/2015,3,4,0,3,47,15,54,20,1
2/21/2015,7,2,0,2,56,13,42,8,0
2/22/2015,7,1,0,1,38,12,38,10,0
2/23/2015,6,2,0,1,40,24,45,10,0
2/24/2015,9,5,0,1,33,26,39,7,0
2/25/2015,6,4,0,0,37,13,41,8,1
2/26/2015,7,14,0,2,45,17,34,6,1
2/27/2015,1,11,0,4,51,25,42,13,0
2/28/2015,9,5,0,2,50,15,40,12,0
3/1/2015,12,1,0,3,45,23,28,4,0
3/2/2015,4,9,0,1,48,17,28,12,0
3/3/2015,5,3,0,1,30,15,36,14,0
3/4/2015,4,3,0,3,35,22,37,14,0
3/5/2015,4,6,0,1,47,18,47,16,0
3/6/2015,5,1,0,2,44,13,40,9,0
3/7/2015,8,1,0,1,59,9,34,13,1
3/8/2015,5,1,1,0,43,13,37,17,0
3/9/2015,5,3,0,3,33,16,38,8,1
3/10/2015,9,17,0,2,32,23,35,7,0
3/11/2015,4,6,0,1,35,19,44,10,0
3/12/2015,9,16,0,1,37,21,32,8,0
3/13/2015,5,4,0,4,44,29,47,10,0
3/14/2015,5,2,1,2,40,26,44,17,0
3/15/2015,3,3,1,1,33,22,33,10,0
3/16/2015,5,3,0,1,43,14,34,14,0
3/17/2015,6,2,0,2,36,23,41,11,0
3/18/2015,4,4,0,1,42,16,46,13,2
3/19/2015,1,16,1,3,47,19,48,10,0
3/20/2015,5,1,0,3,50,19,41,6,0
3/21/2015,2,4,0,0,63,18,34,11,0
3/22/2015,3,2,0,1,59,15,33,12,0
3/23/2015,3,0,0,1,41,16,35,15,0
3/24/2015,2,2,0,0,44,26,44,14,0
3/25/2015,3,3,0,1,46,25,42,10,0
3/26/2015,4,3,0,1,55,11,40,9,0
3/27/2015,1,2,0,2,53,24,51,14,0
3/28/2015,7,4,0,1,48,21,36,11,0
3/29/2015,6,0,0,2,36,18,31,13,0
3/30/2015,2,3,0,6,49,18,37,7,0
3/31/2015,4,5,0,1,53,27,43,13,0
4/1/2015,6,6,0,5,37,25,49,11,0
4/2/2015,2,7,0,1,47,18,28,4,0
4/3/2015,6,5,0,1,56,22,48,7,0
4/4/2015,5,1,0,3,41,15,45,9,0
4/5/2015,7,6,0,2,64,14,24,8,0
4/6/2015,5,1,0,0,33,10,32,9,0
4/7/2015,2,3,0,1,40,23,37,12,1
4/8/2015,8,3,0,1,39,25,38,13,0
4/9/2015,5,1,0,2,36,22,42,8,1
4/10/2015,2,0,0,2,82,20,43,14,0
4/11/2015,6,1,0,3,47,17,48,11,0
4/12/2015,8,0,0,4,52,13,35,13,0
4/13/2015,6,0,0,3,35,29,38,8,0
4/14/2015,2,3,0,2,38,17,47,14,0
4/15/2015,3,0,0,3,32,19,41,8,0
4/16/2015,8,1,0,1,44,19,39,10,0
4/17/2015,3,2,0,0,59,22,45,20,0
4/18/2015,5,4,0,1,46,22,44,12,0
4/19/2015,12,1,0,3,41,19,32,10,1
4/20/2015,4,1,0,3,49,28,47,11,1
4/21/2015,6,2,0,0,51,16,29,8,0
4/22/2015,5,13,0,4,60,19,36,13,0
4/23/2015,5,5,0,1,50,22,29,18,0
4/24/2015,0,2,0,4,39,23,30,13,0
4/25/2015,4,1,0,3,50,20,40,10,0
4/26/2015,5,0,0,4,38,14,30,8,0
4/27/2015,4,2,0,0,55,26,30,15,0
4/28/2015,1,2,0,2,59,14,33,18,0
4/29/2015,8,0,0,1,51,24,26,10,1
4/30/2015,8,0,1,2,41,24,43,13,0
5/1/2015,7,0,0,3,52,41,33,13,0
5/2/2015,8,1,0,2,43,21,26,10,1
5/3/2015,6,1,0,3,46,13,35,8,0
5/4/2015,3,2,0,1,39,20,38,7,0
5/5/2015,4,1,0,2,48,21,39,9,0
5/6/2015,6,4,0,2,33,26,39,11,0
5/7/2015,7,4,0,0,43,30,39,11,0
5/8/2015,5,3,0,4,45,24,52,9,0
5/9/2015,5,2,0,3,58,23,36,8,0
5/10/2015,10,3,0,1,38,16,31,12,0
5/11/2015,2,5,0,2,51,25,45,7,0
5/12/2015,2,4,0,2,50,28,30,10,0
5/13/2015,6,3,0,0,61,24,35,9,1
5/14/2015,6,2,0,2,48,23,48,6,0
5/15/2015,5,2,0,3,69,24,53,16,0
5/16/2015,6,0,0,3,48,16,42,17,0
5/17/2015,4,1,0,3,58,15,29,16,0
5/18/2015,2,1,0,5,33,18,42,7,1
5/19/2015,4,1,0,1,51,23,33,12,1
5/20/2015,7,0,0,2,46,18,36,7,0
5/21/2015,2,3,0,6,66,27,49,8,2
5/22/2015,6,2,0,4,30,27,52,16,0
5/23/2015,12,3,0,2,49,28,31,14,0
5/24/2015,5,2,0,2,51,19,39,4,0
5/25/2015,7,4,0,0,59,22,26,4,0
5/26/2015,8,3,0,3,47,20,46,14,0
5/27/2015,3,4,0,2,53,16,49,2,0
5/28/2015,5,3,0,1,34,13,46,5,0
5/29/2015,8,2,0,2,52,28,42,12,0
5/30/2015,7,0,0,1,52,24,47,12,1
5/31/2015,8,2,0,1,43,23,36,9,0
6/1/2015,7,7,0,2,46,33,40,6,0
6/2/2015,3,4,0,2,48,20,28,9,0
6/3/2015,5,5,0,0,36,13,28,8,1
6/4/2015,6,5,0,3,49,22,46,10,1
