CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
828850568,105,QUEENS,1/1/2016,0:01:00,6/29/2018,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,675,VIOLATION,INSIDE,ADMINISTRATIVE CODE,,PATROL BORO QUEENS SOUTH,879,"ADM.CODE,UNCLASSIFIED VIOLATIO",RESIDENCE-HOUSE,6/29/2018,,UNKNOWN,UNKNOWN,U,,65+,BLACK,F,1057423,191180,40.69112744,-73.7361412,"(40.691127442, -73.736141197)"
406024866,60,BROOKLYN,1/1/2016,0:01:00,,,COMPLETED,,289,2,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,6/25/2018,,,,,,<18,WHITE HISPANIC,F,990922,149184,40.5761573,-73.9759838,"(40.5761573, -73.9759838)"
714465730,120,STATEN ISLAND,1/1/2016,8:00:00,12/31/2016,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO STATEN ISLAND,175,"SEXUAL ABUSE 3,2",STORE UNCLASSIFIED,6/9/2018,,,,,,<18,UNKNOWN,F,962748,174174,40.64472613,-74.07748316,"(40.644726131, -74.077483159)"
136972642,70,BROOKLYN,1/1/2016,1:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,6/7/2018,,UNKNOWN,WHITE,M,,UNKNOWN,WHITE,F,991547,168934,40.63036655,-73.97371261,"(40.630366545, -73.973712613)"
597201802,52,BRONX,1/1/2016,0:01:00,5/25/2018,0:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,5/30/2018,,45-64,BLACK HISPANIC,F,,<18,UNKNOWN,F,1017542,255919,40.86905853,-73.87963015,"(40.869058532, -73.879630148)"
856795654,75,BROOKLYN,1/1/2016,0:01:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,5/27/2018,,<18,UNKNOWN,M,,<18,UNKNOWN,M,1017141,183798,40.67110691,-73.88143296,"(40.671106911, -73.881432957)"
249609738,115,QUEENS,1/1/2016,0:00:00,12/31/2016,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,5/11/2018,,,,,,25-44,WHITE HISPANIC,M,1022455,215770,40.75884097,-73.86209515,"(40.758840972, -73.862095149)"
576246753,70,BROOKLYN,1/1/2016,17:00:00,4/23/2018,18:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN SOUTH,407,"LARCENY,GRAND BY DISHONEST EMP",STORE UNCLASSIFIED,4/30/2018,,UNKNOWN,UNKNOWN,M,,UNKNOWN,UNKNOWN,D,993584,169071,40.63074067,-73.96637375,"(40.63074067, -73.966373746)"
796576304,66,BROOKLYN,1/1/2016,7:00:00,12/31/2016,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,4/23/2018,,,,,,<18,WHITE HISPANIC,F,986633,167258,40.62576896,-73.99141682,"(40.625768961, -73.991416822)"
146446907,41,BRONX,1/1/2016,0:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BRONX,153,RAPE 3,OTHER,4/17/2018,,,,,,<18,UNKNOWN,F,1013232,236725,40.81639185,-73.89529641,"(40.816391847, -73.895296414)"
