Holiday,Date,BURGLARY,THEFT,AGGRAVATED ASSAULT, RAPE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC,DRUG OFFENSE,FRAUD,Total Crime Count
New Years Day,1/1/16,18,55,13,5,0,22,1,2,116
Martin Luther King Day,1/18/16,24,103,3,2,0,1,0,0,133
Super Bowl,2/7/16,14,84,9,1,0,0,0,0,108
Valentine's Day,2/14/16,18,65,5,1,0,0,0,0,89
Easter,3/27/16,9,45,11,2,0,0,0,0,67
Earth Day,4/22/16,10,77,4,1,0,0,0,0,92
Mother's Day,5/8/16,14,78,7,0,1,0,0,0,100
Memorial Day,5/30/16,20,64,8,2,0,0,0,0,94
Father's Day,6/19/16,13,48,7,3,0,0,1,0,72
Independence Day,7/4/16,16,76,7,1,0,0,0,0,100
Labor Day,9/5/16,9,85,6,1,0,0,0,1,102
Halloween,10/31/16,26,81,9,2,0,4,0,0,122
Veteran's Day,11/11/16,19,78,8,5,0,2,0,0,112
Thanksgiving,11/24/16,19,46,4,2,0,4,0,0,75
Black Friday,11/25/16,12,58,3,4,0,1,0,0,78
Cyber Monday,11/28/16,24,122,5,1,0,0,0,0,152
Hanukkah,12/23/16,22,86,7,1,0,1,1,2,120
Christmas,12/25/16,18,64,6,2,0,8,0,1,99
New Year's Eve,12/31/16,26,73,11,6,0,21,3,0,140
Holidays Total,12/31/99,331,1388,133,42,1,64,6,6,1971
Holidays Avg,12/31/99,17.4,73.1,7,2.2,0.1,3.4,0.3,0.3,103.7
