Date,BURGLARY_Austin,BURGLARY_Chicago,BURGLARY_LA,BURGLARY_Cities,THEFT_Austin,THEFT_Chicago,THEFT_LA,THEFT_Cities,AGGRASSAULT_Austin,AGGRASSAULT_Chicago,AGGRASSAULT_LA,AGGRASSAULT_Cities, RAPE_Austin,RAPE_Chicago,RAPE_LA,RAPE_Cities,MURDER_Austin,MURDER_Chicago,MURDER_LA,MURDER_Cities,MISC_Austin,MISC_Chicago,,,DRUG_Austin,DRUG_Chicago,,,FRAUD_Austin,FRAUD_Chicago
1/1/2016,18,33,95,146,55,62,95,212,13,195,212,420,5,17,64,86,0,3,0,3,22,162,,,1,21,,,2,50
1/2/2016,11,47,79,137,56,80,84,220,9,114,106,229,2,8,5,15,0,0,1,1,0,132,,,0,27,,,0,27
1/3/2016,18,62,74,154,56,75,55,186,8,139,123,270,2,4,8,14,0,1,0,1,0,147,,,0,29,,,0,21
1/4/2016,15,70,78,163,118,73,75,266,3,117,98,218,3,6,6,15,0,1,2,3,0,148,,,0,23,,,0,29
1/5/2016,18,59,86,163,84,91,69,244,8,131,107,246,0,4,10,14,0,5,1,6,0,116,,,0,38,,,0,31
1/6/2016,16,61,91,168,68,88,66,222,8,128,80,216,3,6,5,14,0,1,2,3,2,147,,,0,33,,,0,32
1/7/2016,19,63,95,177,95,86,73,254,3,125,101,229,4,7,4,15,0,2,0,2,0,158,,,0,39,,,0,37
1/8/2016,27,79,80,186,75,92,100,267,4,132,83,219,1,4,6,11,0,2,3,5,0,174,,,0,48,,,0,28
1/9/2016,14,61,88,163,60,76,80,216,5,145,100,250,3,8,14,25,0,2,0,2,0,147,,,0,35,,,0,25
1/10/2016,17,65,78,160,68,76,65,209,7,126,104,237,1,5,11,17,0,0,0,0,1,148,,,0,28,,,0,27
1/11/2016,28,64,79,171,77,76,69,222,5,111,132,248,0,2,5,7,0,1,1,2,2,114,,,0,16,,,0,28
1/12/2016,21,50,88,159,75,70,70,215,4,104,97,205,0,7,5,12,0,0,0,0,0,138,,,0,32,,,0,29
1/13/2016,18,65,86,169,71,76,83,230,5,109,99,213,3,5,3,11,0,3,0,3,0,160,,,0,34,,,0,40
1/14/2016,19,70,99,188,66,79,79,224,4,141,89,234,1,12,9,22,0,1,0,1,0,164,,,0,44,,,0,30
1/15/2016,23,69,121,213,77,91,97,265,6,142,118,266,3,3,5,11,0,1,0,1,0,169,,,0,37,,,0,33
1/16/2016,14,56,95,165,73,85,90,248,6,132,133,271,2,6,8,16,0,3,0,3,0,159,,,0,38,,,0,31
1/17/2016,16,46,74,136,65,68,81,214,6,133,144,283,1,4,8,13,0,1,4,5,1,128,,,0,26,,,0,30
1/18/2016,24,43,74,141,103,61,91,255,3,101,117,221,2,2,3,7,0,0,2,2,1,142,,,0,33,,,0,29
1/19/2016,22,57,79,158,103,80,80,263,4,110,83,197,2,1,9,12,0,1,1,2,2,149,,,0,31,,,0,35
1/20/2016,23,58,94,175,88,81,82,251,7,121,116,244,1,5,11,17,0,1,1,2,2,129,,,0,34,,,0,28
1/21/2016,24,68,106,198,89,91,81,261,1,117,127,245,1,3,10,14,0,3,0,3,1,147,,,0,32,,,0,27
1/22/2016,16,64,89,169,95,95,93,283,8,120,118,246,4,4,10,18,1,0,0,1,0,161,,,1,53,,,0,30
1/23/2016,12,64,100,176,69,100,92,261,4,137,126,267,4,4,7,15,0,2,2,4,4,152,,,0,40,,,0,36
1/24/2016,23,64,87,174,64,82,96,242,5,144,123,272,3,3,7,13,0,3,0,3,0,190,,,0,24,,,0,19
1/25/2016,22,74,90,186,99,99,98,296,6,151,104,261,4,3,9,16,0,5,2,7,1,165,,,0,32,,,0,35
1/26/2016,22,63,93,178,85,72,85,242,4,122,99,225,1,4,6,11,0,4,0,4,1,157,,,0,40,,,0,34
1/27/2016,21,59,77,157,69,85,78,232,7,135,107,249,1,0,5,6,0,1,0,1,0,164,,,1,32,,,0,43
1/28/2016,28,63,88,179,77,89,72,238,4,119,97,220,3,4,5,12,0,1,1,2,0,168,,,0,95,,,0,30
1/29/2016,21,87,111,219,94,91,91,276,4,129,132,265,2,3,8,13,0,2,2,4,1,153,,,0,43,,,0,32
1/30/2016,10,39,95,144,67,94,76,237,6,162,124,292,0,5,1,6,0,3,0,3,0,180,,,0,36,,,0,36
1/31/2016,11,55,69,135,91,85,62,238,7,164,114,285,4,5,6,15,0,1,1,2,1,162,,,0,23,,,0,25
2/1/2016,19,80,102,201,97,94,126,317,11,141,119,271,2,10,29,41,0,2,0,2,2,168,,,0,44,,,1,43
2/2/2016,21,49,73,143,82,71,108,261,1,118,94,213,2,10,7,19,0,2,0,2,0,136,,,0,37,,,0,37
2/3/2016,19,56,93,168,86,84,97,267,1,130,100,231,4,3,7,14,0,2,0,2,0,167,,,1,41,,,0,35
2/4/2016,15,49,86,150,76,77,75,228,2,140,89,231,1,5,7,13,0,4,0,4,1,161,,,0,53,,,0,31
2/5/2016,14,54,89,157,59,89,88,236,9,124,137,270,3,7,10,20,0,0,1,1,1,153,,,0,46,,,0,29
2/6/2016,12,53,79,144,65,83,88,236,8,149,126,283,1,8,7,16,0,1,2,3,1,156,,,0,40,,,0,51
2/7/2016,14,35,88,137,84,88,74,246,9,134,170,313,1,6,6,13,0,1,1,2,0,172,,,0,27,,,0,18
2/8/2016,22,45,76,143,85,81,84,250,4,116,124,244,1,7,16,24,0,1,2,3,1,146,,,0,29,,,0,26
2/9/2016,19,33,85,137,68,81,80,229,3,122,126,251,3,4,5,12,0,0,1,1,0,119,,,0,34,,,0,29
2/10/2016,24,36,78,138,80,69,73,222,5,119,134,258,1,3,5,9,0,3,0,3,0,149,,,0,41,,,0,37
2/11/2016,17,46,77,140,79,88,82,249,5,122,99,226,2,4,7,13,0,1,0,1,1,142,,,0,41,,,0,28
2/12/2016,9,42,93,144,80,95,71,246,13,109,122,244,2,8,11,21,0,0,0,0,0,142,,,0,68,,,0,37
2/13/2016,12,38,87,137,47,72,70,189,7,125,138,270,1,3,5,9,0,3,1,4,0,139,,,0,47,,,0,27
2/14/2016,18,44,48,110,65,63,70,198,5,132,161,298,1,6,5,12,0,3,1,4,0,131,,,0,28,,,0,18
2/15/2016,25,44,62,131,93,71,75,239,4,124,133,261,0,4,8,12,0,0,0,0,0,122,,,0,50,,,0,30
2/16/2016,22,46,75,143,90,81,80,251,5,129,115,249,4,6,9,19,0,3,0,3,0,131,,,0,34,,,0,31
