County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany,Albany City PD,2017,12,4275,876,8,54,247,567,3399,433,2857,109,Non-New York City
Albany,Albany County Park PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Albany,Albany County Sheriff,2017,12,161,18,0,8,0,10,143,15,120,8,Non-New York City
Albany,Albany County State Police,2017,12,185,21,0,18,1,2,164,5,155,4,Non-New York City
Albany,Altamont Vg PD,2017,11,4,0,0,0,0,0,4,0,4,0,Non-New York City
Albany,Bethlehem Town PD,2017,12,506,19,0,5,3,11,487,43,437,7,Non-New York City
Albany,Coeymans Town PD,2017,12,87,5,0,0,0,5,82,15,64,3,Non-New York City
Albany,Cohoes City PD,2017,12,241,41,0,6,12,23,200,37,147,16,Non-New York City
Albany,Colonie Town PD,2017,12,1986,84,0,4,24,56,1902,136,1712,54,Non-New York City
Albany,County Total,2017,,8730,1158,8,116,312,722,7572,786,6564,222,Non-New York City
Albany,Green Island Vg PD,2017,12,34,4,0,0,0,4,30,6,23,1,Non-New York City
Albany,Guilderland Town PD,2017,12,712,27,0,9,6,12,685,34,647,4,Non-New York City
Albany,Menands Vg PD,2017,12,161,10,0,1,5,4,151,4,143,4,Non-New York City
Albany,SUNY Police - Albany,2017,10,128,11,0,5,4,2,117,9,108,0,Non-New York City
Albany,Watervliet City PD,2017,12,247,42,0,6,10,26,205,49,144,12,Non-New York City
Allegany,Alfred Vg PD,2017,12,39,3,0,1,1,1,36,9,26,1,Non-New York City
Allegany,Allegany County State Police,2017,12,260,54,2,32,1,19,206,49,147,10,Non-New York City
Allegany,Angelica Vg PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Allegany,Bolivar Vg PD,2017,11,3,0,0,0,0,0,3,0,3,0,Non-New York City
Allegany,County Total,2017,,507,79,2,33,3,41,428,80,334,14,Non-New York City
Allegany,Cuba Town PD,2017,12,52,6,0,0,0,6,46,7,39,0,Non-New York City
Allegany,Friendship Town PD,2017,12,5,2,0,0,0,2,3,0,3,0,Non-New York City
Allegany,Independence Town PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Allegany,SUNY Police - Alfred,2017,12,64,3,0,0,0,3,61,6,53,2,Non-New York City
Allegany,Wellsville Vg PD,2017,12,80,11,0,0,1,10,69,9,59,1,Non-New York City
Bronx,County Total,2017,12,35507,12534,72,551,3570,8341,22973,2108,19509,1356,New York City
Broome,Binghamton City PD,2017,12,2345,362,4,42,90,226,1983,370,1557,56,Non-New York City
Broome,Broome County Sheriff,2017,12,553,58,0,16,6,36,495,80,397,18,Non-New York City
Broome,Broome County State Police,2017,12,524,80,0,46,4,30,444,85,338,21,Non-New York City
Broome,County Total,2017,,5574,695,4,151,138,402,4879,787,3948,144,Non-New York City
Broome,Endicott Vg PD,2017,12,502,74,0,13,22,39,428,89,326,13,Non-New York City
Broome,Johnson City Vg PD,2017,12,847,91,0,19,12,60,756,116,619,21,Non-New York City
Broome,Port Dickinson Vg PD,2017,12,16,0,0,0,0,0,16,1,15,0,Non-New York City
Broome,SUNY Police - Binghamton,2017,12,192,8,0,5,2,1,184,13,171,0,Non-New York City
Broome,Vestal Town PD,2017,12,595,22,0,10,2,10,573,33,525,15,Non-New York City
Cattaraugus,Allegany Vg PD,2017,12,13,1,0,0,0,1,12,3,9,0,Non-New York City
Cattaraugus,Cattaraugus County Park PD,2017,12,8,0,0,0,0,0,8,1,7,0,Non-New York City
Cattaraugus,Cattaraugus County Sheriff,2017,12,317,39,1,15,4,19,278,78,183,17,Non-New York City
Cattaraugus,Cattaraugus County State Police,2017,12,267,48,0,28,3,17,219,57,154,8,Non-New York City
Cattaraugus,Cattaraugus Vg PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Cattaraugus,County Total,2017,,1152,130,2,48,12,68,1022,188,801,33,Non-New York City
Cattaraugus,Ellicottville Town PD,2017,12,11,1,0,0,0,1,10,2,8,0,Non-New York City
Cattaraugus,Franklinville Vg PD,2017,12,21,1,0,0,0,1,20,4,16,0,Non-New York City
