Categories Final,Date Occurred,Crime_Count
AGGRAVATED ASSAULT,2015-01-02,85
AGGRAVATED ASSAULT,2015-01-03,112
AGGRAVATED ASSAULT,2015-01-04,117
AGGRAVATED ASSAULT,2015-01-05,98
AGGRAVATED ASSAULT,2015-01-06,108
AGGRAVATED ASSAULT,2015-01-07,95
AGGRAVATED ASSAULT,2015-01-08,79
AGGRAVATED ASSAULT,2015-01-09,123
AGGRAVATED ASSAULT,2015-01-10,130
AGGRAVATED ASSAULT,2015-01-11,135
AGGRAVATED ASSAULT,2015-01-12,87
AGGRAVATED ASSAULT,2015-01-13,89
AGGRAVATED ASSAULT,2015-01-14,107
AGGRAVATED ASSAULT,2015-01-15,82
AGGRAVATED ASSAULT,2015-01-16,93
AGGRAVATED ASSAULT,2015-01-17,133
AGGRAVATED ASSAULT,2015-01-18,102
AGGRAVATED ASSAULT,2015-01-19,108
AGGRAVATED ASSAULT,2015-01-20,83
AGGRAVATED ASSAULT,2015-01-21,98
AGGRAVATED ASSAULT,2015-01-22,118
AGGRAVATED ASSAULT,2015-01-23,99
AGGRAVATED ASSAULT,2015-01-24,127
AGGRAVATED ASSAULT,2015-01-25,128
AGGRAVATED ASSAULT,2015-01-26,120
AGGRAVATED ASSAULT,2015-01-27,95
AGGRAVATED ASSAULT,2015-01-28,105
AGGRAVATED ASSAULT,2015-01-29,114
AGGRAVATED ASSAULT,2015-01-30,118
AGGRAVATED ASSAULT,2015-01-31,136
AGGRAVATED ASSAULT,2015-02-01,146
AGGRAVATED ASSAULT,2015-02-02,105
AGGRAVATED ASSAULT,2015-02-03,70
AGGRAVATED ASSAULT,2015-02-04,109
AGGRAVATED ASSAULT,2015-02-05,98
AGGRAVATED ASSAULT,2015-02-06,120
AGGRAVATED ASSAULT,2015-02-07,107
AGGRAVATED ASSAULT,2015-02-08,154
AGGRAVATED ASSAULT,2015-02-09,106
AGGRAVATED ASSAULT,2015-02-10,95
AGGRAVATED ASSAULT,2015-02-11,77
AGGRAVATED ASSAULT,2015-02-12,120
AGGRAVATED ASSAULT,2015-02-13,121
AGGRAVATED ASSAULT,2015-02-14,131
AGGRAVATED ASSAULT,2015-02-15,128
AGGRAVATED ASSAULT,2015-02-16,125
AGGRAVATED ASSAULT,2015-02-17,83
AGGRAVATED ASSAULT,2015-02-18,96
AGGRAVATED ASSAULT,2015-02-19,123
AGGRAVATED ASSAULT,2015-02-20,93
AGGRAVATED ASSAULT,2015-02-21,111
AGGRAVATED ASSAULT,2015-02-22,127
AGGRAVATED ASSAULT,2015-02-23,105
AGGRAVATED ASSAULT,2015-02-24,97
AGGRAVATED ASSAULT,2015-02-25,89
AGGRAVATED ASSAULT,2015-02-26,102
AGGRAVATED ASSAULT,2015-02-27,117
AGGRAVATED ASSAULT,2015-02-28,128
AGGRAVATED ASSAULT,2015-03-01,142
AGGRAVATED ASSAULT,2015-03-02,103
AGGRAVATED ASSAULT,2015-03-03,104
AGGRAVATED ASSAULT,2015-03-04,94
AGGRAVATED ASSAULT,2015-03-05,105
AGGRAVATED ASSAULT,2015-03-06,110
AGGRAVATED ASSAULT,2015-03-07,141
AGGRAVATED ASSAULT,2015-03-08,121
AGGRAVATED ASSAULT,2015-03-09,114
AGGRAVATED ASSAULT,2015-03-10,120
AGGRAVATED ASSAULT,2015-03-11,136
AGGRAVATED ASSAULT,2015-03-12,105
AGGRAVATED ASSAULT,2015-03-13,125
AGGRAVATED ASSAULT,2015-03-14,146
AGGRAVATED ASSAULT,2015-03-15,145
AGGRAVATED ASSAULT,2015-03-16,128
AGGRAVATED ASSAULT,2015-03-17,99
AGGRAVATED ASSAULT,2015-03-18,105
AGGRAVATED ASSAULT,2015-03-19,115
