Date Occurred,MOTOR VEHICLE THEFT,THEFT,BURGLARY,MISC,FRAUD,LARCENY-THEFT,AGGRAVATED ASSAULT,RAPE,ATTEMPT,ARSON,MURDER AND NON-NEGLIGENT MANSLAUGHTER,DRUG OFFENSE
2015-01-02,43,77,71,167,19,36,85,6,6,2,1,0
2015-01-03,44,73,77,129,7,37,112,4,9,1,1,0
2015-01-04,51,60,83,138,5,31,117,5,16,1,2,0
2015-01-05,53,89,107,195,15,47,98,9,13,1,0,0
2015-01-06,44,77,71,143,10,34,108,11,9,0,1,0
2015-01-07,34,73,81,162,12,44,95,4,15,1,0,0
2015-01-08,46,89,74,189,12,44,79,6,9,0,0,0
2015-01-09,58,97,101,173,7,45,123,2,17,0,0,0
2015-01-10,54,76,107,182,5,34,130,8,12,0,1,0
2015-01-11,46,71,76,115,1,41,135,4,13,1,0,0
2015-01-12,32,71,92,164,9,50,87,3,13,0,2,0
2015-01-13,39,74,89,155,9,38,89,5,5,0,1,0
2015-01-14,36,81,83,177,5,56,107,8,15,1,1,2
2015-01-15,53,93,110,207,9,45,82,10,12,4,2,0
2015-01-16,32,97,102,168,6,48,93,10,18,1,1,0
2015-01-17,53,82,75,158,4,44,133,4,9,2,1,0
2015-01-18,49,66,83,150,1,41,102,4,13,1,0,0
2015-01-19,45,70,77,133,3,31,108,6,10,0,0,0
2015-01-20,37,99,109,194,10,41,83,7,16,0,0,0
2015-01-21,43,94,95,173,6,40,98,6,10,1,1,0
2015-01-22,38,90,87,154,11,57,118,5,10,1,1,0
2015-01-23,49,74,97,203,4,45,99,8,10,1,0,0
2015-01-24,44,95,82,165,8,33,127,7,8,2,0,0
2015-01-25,45,75,74,156,4,47,128,4,8,1,0,0
2015-01-26,59,80,107,192,9,50,120,11,15,0,0,0
2015-01-27,33,109,96,167,11,38,95,6,18,0,0,0
2015-01-28,31,80,81,170,4,47,105,2,11,1,1,0
2015-01-29,34,89,85,181,5,35,114,2,16,0,3,0
2015-01-30,37,99,97,196,9,39,118,7,12,0,1,0
2015-01-31,46,91,82,152,5,36,136,9,14,0,1,0
2015-02-01,33,102,100,282,2,36,146,35,9,1,2,0
2015-02-02,49,69,94,188,13,53,105,3,14,2,1,0
2015-02-03,32,90,89,166,15,44,70,5,7,3,0,0
2015-02-04,42,93,84,170,14,33,109,9,10,0,0,0
2015-02-05,47,83,78,164,8,48,98,10,7,0,0,0
2015-02-06,37,65,76,211,11,44,120,8,16,2,0,0
2015-02-07,29,93,91,171,5,39,107,5,9,0,2,0
2015-02-08,38,65,51,152,5,45,154,8,6,0,1,0
2015-02-09,36,84,77,202,9,37,106,7,9,3,1,0
2015-02-10,34,87,77,170,6,36,95,7,11,1,1,0
2015-02-11,28,88,82,199,5,55,77,4,10,0,0,0
2015-02-12,39,79,91,193,6,65,120,6,13,0,0,0
2015-02-13,43,76,135,189,8,52,121,6,5,0,1,0
2015-02-14,40,83,83,176,3,40,131,14,8,0,1,0
2015-02-15,58,96,95,164,4,37,128,8,7,0,1,0
2015-02-16,39,76,77,178,0,53,125,4,15,2,1,0
2015-02-17,43,77,73,166,5,52,83,7,11,2,0,0
2015-02-18,38,81,81,191,6,52,96,8,9,1,0,0
2015-02-19,38,94,87,166,8,52,123,7,9,1,0,0
2015-02-20,45,87,98,201,7,61,93,9,7,0,1,0
2015-02-21,37,86,72,178,7,40,111,16,7,0,0,0
2015-02-22,45,69,73,170,1,21,127,9,13,1,0,0
2015-02-23,46,73,82,158,5,50,105,7,10,1,0,0
2015-02-24,42,80,89,160,5,39,97,6,9,1,0,0
2015-02-25,46,88,77,157,12,57,89,6,13,3,0,0
2015-02-26,46,96,84,169,10,35,102,5,15,0,1,0
2015-02-27,44,97,93,184,7,43,117,8,10,0,0,0
2015-02-28,50,86,57,157,7,28,128,9,9,0,1,0
2015-03-01,58,106,101,287,16,46,142,34,12,1,1,1
2015-03-02,36,92,97,182,11,48,103,5,12,1,0,0
2015-03-03,48,81,86,171,9,44,104,5,11,0,1,0
2015-03-04,32,78,74,173,3,37,94,8,15,1,0,0
2015-03-05,35,80,84,172,10,38,105,5,5,0,0,0
2015-03-06,49,80,100,191,9,44,110,10,17,0,0,0
2015-03-07,38,88,76,171,2,51,141,8,9,1,1,0
2015-03-08,41,60,56,144,2,33,121,8,12,0,0,0
2015-03-09,33,75,86,183,11,44,114,6,10,1,1,1
2015-03-10,37,81,86,176,4,46,120,9,12,0,0,0
2015-03-11,49,87,74,154,13,46,136,7,13,0,1,0
2015-03-12,36,71,79,178,10,47,105,9,7,0,1,0
2015-03-13,38,86,93,168,6,37,125,6,13,2,3,0
2015-03-14,51,72,88,191,6,48,146,9,13,1,0,0
2015-03-15,35,91,70,189,2,51,145,9,14,2,0,0
2015-03-16,37,82,79,193,5,49,128,7,10,1,0,0
2015-03-17,46,84,80,191,11,42,99,7,7,0,1,1
2015-03-18,34,86,61,170,4,42,105,6,4,1,1,0
2015-03-19,28,84,73,175,5,41,115,4,9,0,0,0
2015-03-20,46,99,86,211,7,58,122,7,11,0,1,0
2015-03-21,45,80,69,156,4,42,145,14,5,0,1,0
2015-03-22,37,81,81,153,2,38,164,1,10,0,0,0
2015-03-23,39,81,78,179,8,40,113,7,16,2,2,0
2015-03-24,36,71,95,183,5,36,129,6,13,2,1,0
2015-03-25,30,100,73,180,5,43,132,8,11,0,0,1
2015-03-26,41,85,77,192,6,32,137,6,11,1,0,0
2015-03-27,48,102,72,197,8,52,130,10,16,1,0,0
2015-03-28,37,84,76,157,7,44,164,12,14,0,1,0
2015-03-29,48,56,67,148,2,42,124,8,7,2,0,0
2015-03-30,40,83,78,168,10,53,108,8,12,1,0,0
2015-03-31,39,87,66,220,4,47,108,3,8,0,0,0
2015-04-01,33,104,101,325,16,53,109,22,12,4,2,0
2015-04-02,37,64,65,193,6,49,99,7,11,0,2,0
2015-04-03,41,110,93,168,10,46,148,5,9,0,0,0
2015-04-04,32,78,64,162,2,35,131,9,9,2,1,0
2015-04-05,28,72,54,142,7,36,147,10,10,1,0,0
2015-04-06,27,77,58,188,5,46,100,8,12,4,2,0
2015-04-07,42,83,70,158,10,33,109,4,6,0,0,0
2015-04-08,30,87,62,153,12,39,97,5,6,0,2,0
2015-04-09,31,82,60,169,6,47,121,5,14,0,0,1
2015-04-10,25,106,85,193,6,46,104,8,13,0,0,0
2015-04-11,39,68,71,149,6,51,145,6,12,1,0,0
2015-04-12,43,76,61,154,2,33,128,11,6,0,1,0
2015-04-13,38,91,52,207,8,60,112,7,9,0,2,0
2015-04-14,39,95,60,182,11,49,106,5,12,2,0,0
2015-04-15,42,88,82,225,9,57,133,7,13,0,0,0
2015-04-16,36,99,83,154,6,51,124,8,8,0,2,0
2015-04-17,32,93,87,201,10,44,104,8,7,7,0,0
2015-04-18,39,102,57,169,11,35,144,10,8,1,1,0
2015-04-19,39,70,74,143,3,41,146,6,8,3,2,0
2015-04-20,28,79,85,189,9,39,113,8,14,1,1,0
2015-04-21,45,85,75,156,8,44,105,4,10,1,1,0
2015-04-22,48,108,86,156,6,40,108,7,11,2,2,0
2015-04-23,39,80,87,165,5,42,93,11,17,0,1,0
2015-04-24,41,92,85,168,11,37,94,5,14,0,1,0
2015-04-25,50,74,74,166,2,41,118,9,15,1,0,0
2015-04-26,54,90,61,161,2,35,126,6,13,0,1,0
2015-04-27,44,88,66,167,4,46,109,8,7,1,1,0
2015-04-28,44,91,71,174,9,51,104,11,15,0,1,0
2015-04-29,33,78,78,171,4,43,126,8,11,2,0,0
2015-04-30,27,82,74,184,15,39,132,7,16,0,1,0
2015-05-01,48,139,82,339,13,45,140,29,9,0,0,0
2015-05-02,26,77,89,189,9,45,163,12,4,0,4,0
2015-05-03,41,68,82,166,1,28,138,10,5,3,0,0
2015-05-04,37,81,70,170,9,42,112,8,8,1,0,0
2015-05-05,30,98,70,203,9,49,94,6,10,1,0,0
2015-05-06,33,74,68,165,10,42,108,8,9,1,0,0
2015-05-07,51,100,82,149,6,37,86,5,14,0,2,0
2015-05-08,45,86,86,169,6,43,95,9,11,0,1,0
2015-05-09,36,77,71,141,3,47,151,9,9,1,4,0
2015-05-10,53,58,70,156,3,38,134,5,7,4,0,0
2015-05-11,41,102,62,210,9,44,103,12,4,0,0,0
2015-05-12,52,92,66,183,5,39,119,8,8,2,0,0
2015-05-13,37,91,69,164,6,48,110,2,6,4,0,0
2015-05-14,42,75,96,162,9,42,95,5,10,2,0,1
2015-05-15,46,104,95,198,16,47,149,11,18,1,0,0
2015-05-16,45,77,69,165,4,43,134,8,11,0,1,0
2015-05-17,41,66,63,136,3,44,151,6,9,0,0,0
2015-05-18,51,77,86,164,7,45,113,3,10,0,3,0
2015-05-19,33,90,108,173,5,61,117,0,16,1,0,0
2015-05-20,44,87,83,186,10,49,118,9,10,0,0,0
2015-05-21,37,101,100,188,10,48,114,3,9,0,0,2
2015-05-22,32,85,114,205,7,41,100,7,6,0,1,0
2015-05-23,47,80,77,151,2,45,99,1,9,2,2,0
2015-05-24,42,70,76,185,4,42,141,7,13,0,1,0
2015-05-25,44,77,69,164,6,41,126,7,8,0,2,0
2015-05-26,41,73,85,165,10,35,124,10,10,0,0,0
2015-05-27,38,86,74,165,5,48,108,3,9,0,1,0
2015-05-28,26,94,86,178,9,46,100,7,16,0,0,0
2015-05-29,46,77,104,191,6,57,119,4,14,1,1,1
2015-05-30,44,102,93,178,6,41,149,7,5,0,0,0
2015-05-31,44,78,66,175,1,40,138,4,9,1,2,0
2015-06-01,39,131,96,360,17,57,120,37,13,0,2,0
2015-06-02,24,95,77,175,9,45,132,5,6,0,0,0
2015-06-03,37,80,61,173,11,46,108,2,10,3,0,0
2015-06-04,36,88,78,177,7,41,114,13,4,0,0,0
2015-06-05,43,99,77,174,10,39,118,12,16,2,2,0
2015-06-06,48,69,72,184,3,42,138,4,10,1,0,0
2015-06-07,40,61,58,138,3,39,153,13,6,0,0,0
2015-06-08,24,82,78,166,12,48,122,10,12,1,2,0
2015-06-09,29,87,69,180,7,46,100,13,13,3,0,0
2015-06-10,39,87,65,173,5,57,126,5,10,2,0,0
2015-06-11,43,91,86,208,6,53,114,5,12,0,0,0
2015-06-12,47,87,94,198,8,50,131,3,8,2,1,0
2015-06-13,35,91,63,173,5,38,119,8,11,0,2,1
2015-06-14,40,72,55,146,2,40,135,9,8,1,2,0
2015-06-15,49,82,99,231,10,45,113,10,11,2,0,0
2015-06-16,29,74,65,165,6,36,111,4,11,1,0,0
2015-06-17,36,87,82,170,10,48,120,7,17,1,1,0
2015-06-18,35,95,94,175,6,53,108,7,7,1,0,0
2015-06-19,38,89,95,173,4,45,137,5,8,0,1,0
2015-06-20,46,92,81,186,4,35,157,9,8,1,1,0
2015-06-21,35,69,52,165,4,40,159,10,8,2,3,0
2015-06-22,28,83,53,195,14,35,141,6,9,3,0,0
2015-06-23,30,83,83,178,7,40,110,8,11,0,2,0
2015-06-24,51,95,79,161,8,40,115,2,10,3,0,0
2015-06-25,31,78,71,169,5,46,113,9,11,0,0,0
2015-06-26,45,87,85,222,2,54,143,4,6,2,0,0
2015-06-27,50,88,66,181,4,42,154,6,6,1,1,1
2015-06-28,36,65,79,157,1,45,161,7,9,0,3,0
2015-06-29,45,84,81,190,4,50,132,3,12,2,0,0
2015-06-30,44,102,68,169,3,38,122,4,8,1,0,0
2015-07-01,42,109,107,299,11,47,132,36,11,0,0,0
2015-07-02,34,87,83,145,6,39,131,6,8,1,1,0
2015-07-03,51,82,105,173,8,55,139,9,10,1,0,0
2015-07-04,38,73,80,165,3,40,175,13,6,1,2,0
2015-07-05,46,72,56,169,5,37,139,9,11,2,1,0
2015-07-06,47,90,70,193,7,58,122,7,4,1,1,1
2015-07-07,38,84,82,159,5,38,110,8,9,0,1,0
2015-07-08,39,82,82,181,10,53,122,4,12,0,3,0
2015-07-09,41,94,64,193,5,45,110,3,6,1,0,0
2015-07-10,51,86,78,147,9,55,130,7,4,0,0,0
2015-07-11,39,78,73,134,6,48,157,11,5,4,1,0
2015-07-12,51,77,59,156,4,40,128,7,7,0,0,0
2015-07-13,45,93,88,198,5,50,111,9,4,1,0,0
2015-07-14,43,87,62,163,11,51,115,6,9,3,1,0
2015-07-15,40,109,88,218,10,53,132,6,7,3,1,0
2015-07-16,38,77,74,163,12,39,97,6,8,1,0,0
2015-07-17,41,102,82,187,5,45,140,9,2,1,0,0
2015-07-18,43,85,67,147,2,34,125,10,8,1,1,0
2015-07-19,42,66,73,187,1,40,166,10,10,0,1,0
2015-07-20,53,108,77,199,8,44,132,8,13,0,1,0
2015-07-21,44,79,89,202,8,51,117,8,13,0,1,0
2015-07-22,39,88,85,164,9,57,126,13,11,0,1,0
2015-07-23,51,97,65,191,3,56,125,7,8,0,0,0
2015-07-24,35,103,83,173,5,40,121,9,14,4,1,1
2015-07-25,46,103,83,181,5,49,149,9,9,0,1,0
2015-07-26,42,94,70,167,2,46,181,6,6,0,2,0
2015-07-27,44,88,79,222,8,55,142,4,10,0,2,0
2015-07-28,48,93,76,206,2,63,113,7,8,2,0,0
2015-07-29,42,90,92,202,7,50,117,6,10,0,0,0
2015-07-30,44,97,80,193,9,47,125,5,12,1,0,0
2015-07-31,48,102,111,204,4,50,124,10,9,3,0,0
2015-08-01,55,117,89,325,11,52,162,47,8,1,0,0
2015-08-02,57,89,73,191,2,44,158,5,10,1,0,0
2015-08-03,52,91,78,221,9,49,110,10,10,0,2,0
2015-08-04,56,82,70,175,7,48,119,6,6,1,1,0
2015-08-05,50,101,80,178,8,56,134,6,10,0,0,0
2015-08-06,43,81,61,196,12,58,133,6,10,1,2,0
2015-08-07,39,75,92,195,6,47,103,6,12,0,0,0
2015-08-08,46,85,66,161,6,43,141,4,9,0,1,0
2015-08-09,39,63,71,170,2,44,133,6,12,2,1,0
2015-08-10,51,76,81,177,8,59,120,6,6,1,0,0
2015-08-11,47,75,68,138,6,47,124,5,12,1,2,0
2015-08-12,32,97,81,190,5,55,121,6,8,2,0,0
2015-08-13,45,93,85,175,3,37,110,7,8,0,0,0
2015-08-14,40,102,101,193,6,44,89,9,10,0,1,0
2015-08-15,50,94,75,217,7,43,152,7,13,3,3,0
2015-08-16,56,74,75,195,2,34,131,14,11,2,1,0
2015-08-17,53,86,65,189,7,61,120,7,14,1,2,0
2015-08-18,38,64,72,171,13,44,138,6,4,0,1,0
2015-08-19,47,94,65,196,7,63,132,4,7,2,2,0
2015-08-20,51,88,72,218,9,56,138,3,8,0,1,0
2015-08-21,57,121,100,172,7,35,134,4,11,0,1,0
2015-08-22,52,95,76,188,3,55,153,7,6,2,2,0
2015-08-23,41,68,77,175,3,56,156,8,6,2,1,0
2015-08-24,51,98,97,187,5,48,132,7,13,1,0,0
2015-08-25,40,103,88,179,12,45,131,8,16,0,2,0
2015-08-26,51,88,82,182,9,40,103,12,17,1,4,0
2015-08-27,43,92,67,159,5,54,133,2,11,2,2,0
2015-08-28,49,93,88,168,14,53,153,4,13,0,1,0
2015-08-29,55,86,67,186,7,48,167,11,11,1,2,1
2015-08-30,27,76,66,154,4,51,160,8,9,3,2,0
2015-08-31,54,88,74,201,15,48,101,5,13,1,0,0
2015-09-01,41,131,111,310,7,59,126,28,13,1,0,0
2015-09-02,49,79,66,156,10,51,102,9,8,0,1,0
2015-09-03,45,89,84,174,11,60,117,4,11,4,2,0
2015-09-04,52,109,80,162,10,54,116,5,15,4,1,0
2015-09-05,38,99,67,188,8,49,119,10,9,1,2,0
2015-09-06,40,82,61,138,3,35,159,8,7,2,0,0
2015-09-07,48,75,57,147,4,48,168,5,10,0,0,0
2015-09-08,45,113,63,174,10,32,107,18,13,1,0,0
2015-09-09,32,77,70,159,10,48,139,12,10,1,4,0
2015-09-10,45,96,86,161,7,56,135,10,5,0,4,0
2015-09-11,38,89,91,211,9,48,164,6,11,1,0,0
2015-09-12,34,82,69,171,8,38,153,8,8,1,0,0
2015-09-13,49,79,57,184,5,44,164,11,13,1,2,0
2015-09-14,44,109,80,172,5,38,119,4,14,4,0,0
2015-09-15,45,83,91,213,9,54,117,11,12,0,0,0
2015-09-16,56,101,81,156,4,52,102,4,15,1,2,1
2015-09-17,61,76,91,161,4,44,130,1,9,2,0,0
2015-09-18,49,96,107,188,10,58,135,6,18,0,1,0
2015-09-19,43,72,61,167,2,51,147,16,9,2,1,0
2015-09-20,48,94,76,164,10,27,203,6,11,1,1,0
2015-09-21,32,89,79,164,10,38,141,11,9,3,1,0
2015-09-22,49,92,87,165,2,45,134,3,11,0,0,0
2015-09-23,41,84,99,179,10,35,126,7,14,2,1,0
2015-09-24,44,97,99,195,9,37,134,3,12,1,1,0
2015-09-25,42,108,79,212,5,37,134,11,13,0,1,0
2015-09-26,58,91,87,172,5,40,174,10,12,2,0,0
2015-09-27,33,71,53,176,3,41,158,11,15,2,4,0
2015-09-28,41,95,74,180,7,55,136,8,6,1,0,0
2015-09-29,35,90,99,186,6,48,110,7,9,0,2,0
2015-09-30,46,100,99,175,10,42,133,9,10,2,0,0
2015-10-01,49,125,80,311,13,59,128,27,12,1,1,0
2015-10-02,55,86,87,178,6,42,128,4,10,2,0,0
2015-10-03,43,91,84,207,7,46,159,12,8,1,0,0
2015-10-04,43,64,52,161,6,38,153,4,8,0,5,0
2015-10-05,46,79,81,205,4,57,98,3,12,3,0,0
2015-10-06,49,83,66,152,8,55,121,3,9,1,2,0
2015-10-07,44,93,64,162,14,42,124,9,14,1,0,0
2015-10-08,49,95,81,194,7,34,137,14,10,1,0,0
2015-10-09,40,96,86,199,6,46,132,11,11,3,0,0
2015-10-10,48,96,72,198,7,42,165,10,11,1,1,0
2015-10-11,53,75,59,175,0,43,159,12,15,1,0,0
2015-10-12,44,88,58,195,11,47,136,7,15,1,0,0
2015-10-13,45,89,70,159,10,42,146,9,11,1,1,0
2015-10-14,43,82,80,205,7,44,108,9,17,2,0,0
2015-10-15,64,85,108,254,6,50,139,10,15,0,1,0
2015-10-16,66,93,121,198,2,54,143,4,20,0,0,0
2015-10-17,63,101,61,187,6,56,174,12,11,1,1,0
2015-10-18,49,88,58,157,3,52,147,5,9,1,3,1
2015-10-19,43,80,95,172,8,44,128,3,13,0,1,0
2015-10-20,59,114,91,175,8,41,125,11,10,2,0,0
2015-10-21,49,101,74,186,2,39,88,4,10,3,0,0
2015-10-22,55,64,76,153,2,50,123,8,8,0,0,0
2015-10-23,57,84,92,197,7,46,123,5,15,0,0,0
2015-10-24,51,76,76,162,3,36,148,7,8,0,1,0
2015-10-25,51,66,65,180,7,54,159,10,8,10,0,0
2015-10-26,54,100,72,182,9,52,101,5,7,2,1,0
2015-10-27,56,101,91,161,9,43,120,5,12,2,0,0
2015-10-28,51,85,87,173,9,62,115,6,12,0,3,0
2015-10-29,58,84,96,156,7,53,105,5,7,0,0,0
2015-10-30,52,98,78,182,6,49,115,8,16,2,1,0
2015-10-31,58,108,88,230,2,58,175,9,12,2,0,0
2015-11-01,59,114,82,340,13,58,179,44,9,2,0,0
2015-11-02,44,76,88,179,13,34,94,8,14,0,0,0
2015-11-03,53,86,74,153,4,45,85,2,14,0,1,0
2015-11-04,34,77,71,167,10,46,108,7,10,0,1,0
2015-11-05,44,67,65,178,10,46,92,10,9,0,1,0
2015-11-06,60,100,61,190,3,56,102,12,7,1,3,0
2015-11-07,62,70,80,142,4,40,115,7,14,1,0,0
2015-11-08,36,83,56,159,4,42,137,12,5,0,1,0
2015-11-09,62,90,91,155,9,49,90,6,20,1,1,0
2015-11-10,39,83,100,144,7,49,87,3,13,0,1,0
2015-11-11,44,86,75,148,8,37,86,2,7,0,0,0
2015-11-12,40,81,92,170,8,43,100,7,8,1,2,0
