Crime Code Description,Categories Final,,
ABORTION/ILLEGAL,MISC,,
ARSON,ARSON,,
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,AGGRAVATED ASSAULT,,
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",AGGRAVATED ASSAULT,,
ATTEMPTED ROBBERY,ATTEMPT,,
BATTERY - SIMPLE ASSAULT,AGGRAVATED ASSAULT,,
BATTERY ON A FIREFIGHTER,AGGRAVATED ASSAULT,,
BATTERY POLICE (SIMPLE),AGGRAVATED ASSAULT,,
BATTERY WITH SEXUAL CONTACT,RAPE,,
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",RAPE,,
BIGAMY,MISC,,
BIKE - ATTEMPTED STOLEN,ATTEMPT,,
BIKE - STOLEN,LARCENY-THEFT,,
BLOCKING DOOR INDUCTION CENTER,MISC,,
BOAT - STOLEN,LARCENY-THEFT,,
BOMB SCARE,MISC,,
BRANDISH WEAPON,MISC,,
BRIBERY,MISC,,
"BUNCO, ATTEMPT",ATTEMPT,,
"BUNCO, GRAND THEFT",LARCENY-THEFT,,
"BUNCO, PETTY THEFT",LARCENY-THEFT,,
BURGLARY,BURGLARY,,
BURGLARY FROM VEHICLE,BURGLARY,,
"BURGLARY FROM VEHICLE, ATTEMPTED",ATTEMPT,,
"BURGLARY, ATTEMPTED",ATTEMPT,,
CHILD ABANDONMENT,MISC,,
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,,
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,AGGRAVATED ASSAULT,,
CHILD ANNOYING (17YRS & UNDER),MISC,,
CHILD NEGLECT (SEE 300 W.I.C.),MISC,,
CHILD PORNOGRAPHY,MISC,,
CHILD STEALING,MISC,,
CONSPIRACY,MISC,,
CONTEMPT OF COURT,MISC,,
CONTRIBUTING,MISC,,
COUNTERFEIT,MISC,,
"CREDIT CARDS, FRAUD USE ($950 & UNDER",FRAUD,,
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",FRAUD,,
CRIMINAL HOMICIDE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,,
CRIMINAL THREATS - NO WEAPON DISPLAYED,MISC,,
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,MISC,,
CRUELTY TO ANIMALS,MISC,,
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",THEFT,,
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",THEFT,,
DISCHARGE FIREARMS/SHOTS FIRED,MISC,,
DISHONEST EMPLOYEE - GRAND THEFT,THEFT,,
DISHONEST EMPLOYEE - PETTY THEFT,THEFT,,
DISHONEST EMPLOYEE ATTEMPTED THEFT,ATTEMPT,,
DISRUPT SCHOOL,MISC,,
DISTURBING THE PEACE,MISC,,
DOCUMENT FORGERY / STOLEN FELONY,FRAUD,,
DOCUMENT WORTHLESS ($200 & UNDER),MISC,,
DOCUMENT WORTHLESS ($200.01 & OVER),MISC,,
DRIVING WITHOUT OWNER CONSENT (DWOC),MISC,,
"DRUGS, TO A MINOR",DRUG OFFENSE,,
DRUNK ROLL,DRUG OFFENSE,,
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",THEFT,,
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",THEFT,,
EXTORTION,BURGLARY,,
FAILURE TO DISPERSE,MISC,,
FAILURE TO YIELD,MISC,,
FALSE IMPRISONMENT,MISC,,
FALSE POLICE REPORT,MISC,,
FIREARMS RESTRAINING ORDER (FIREARMS RO),MISC,,
GRAND THEFT / AUTO REPAIR,THEFT,,
GRAND THEFT / INSURANCE FRAUD,FRAUD,,
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,MISC,,
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,MISC,,
ILLEGAL DUMPING,MISC,,
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),RAPE,,
INCITING A RIOT,MISC,,
INDECENT EXPOSURE,MISC,,
INTIMATE PARTNER - AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,,
INTIMATE PARTNER - SIMPLE ASSAULT,AGGRAVATED ASSAULT,,
KIDNAPPING,MISC,,
KIDNAPPING - GRAND ATTEMPT,ATTEMPT,,
"LETTERS, LEWD",MISC,,
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",MISC,,
LEWD CONDUCT,MISC,,
LEWD/LASCIVIOUS ACTS WITH CHILD,MISC,,
LYNCHING,MISC,,
