,Crime Code Description
0,VEHICLE - STOLEN
1,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
2,BURGLARY
3,INDECENT EXPOSURE
4,OTHER MISCELLANEOUS CRIME
5,TRESPASSING
6,"THEFT, PERSON"
7,BURGLARY FROM VEHICLE
8,DOCUMENT FORGERY / STOLEN FELONY
9,THEFT PLAIN - PETTY ($950 & UNDER)
10,PURSE SNATCHING
11,BIKE - STOLEN
12,PICKPOCKET
13,OTHER ASSAULT
14,ROBBERY
15,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
16,PIMPING
17,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
18,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
19,INTIMATE PARTNER - AGGRAVATED ASSAULT
20,BATTERY WITH SEXUAL CONTACT
21,"RAPE, FORCIBLE"
22,INTIMATE PARTNER - SIMPLE ASSAULT
23,ORAL COPULATION
24,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
25,BATTERY - SIMPLE ASSAULT
26,KIDNAPPING
27,CHILD NEGLECT (SEE 300 W.I.C.)
28,CRIMINAL THREATS - NO WEAPON DISPLAYED
29,BRANDISH WEAPON
30,"BURGLARY FROM VEHICLE, ATTEMPTED"
31,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02
32,"BURGLARY, ATTEMPTED"
33,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
34,CONSPIRACY
35,BATTERY POLICE (SIMPLE)
36,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
37,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
38,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
39,BOMB SCARE
40,ATTEMPTED ROBBERY
41,COUNTERFEIT
42,STALKING
43,ARSON
44,THEFT FROM MOTOR VEHICLE - ATTEMPT
