Crime Code Description,Categories Final
ABORTION/ILLEGAL,MISC
ARSON,MISC
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,MISC
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",MISC
ATTEMPTED ROBBERY,MISC
BATTERY - SIMPLE ASSAULT,BATTERY
BATTERY ON A FIREFIGHTER,BATTERY
BATTERY POLICE (SIMPLE),BATTERY
BATTERY WITH SEXUAL CONTACT,BATTERY
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",MISC
BIGAMY,MISC
BIKE - ATTEMPTED STOLEN,MISC
BIKE - STOLEN,MISC
BLOCKING DOOR INDUCTION CENTER,MISC
BOAT - STOLEN,MISC
BOMB SCARE,MISC
BRANDISH WEAPON,MISC
BRIBERY,MISC
"BUNCO, ATTEMPT",MISC
"BUNCO, GRAND THEFT",MISC
"BUNCO, PETTY THEFT",MISC
BURGLARY,MISC
BURGLARY FROM VEHICLE,MISC
"BURGLARY FROM VEHICLE, ATTEMPTED",MISC
"BURGLARY, ATTEMPTED",MISC
CHILD ABANDONMENT,MISC
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,MISC
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,MISC
CHILD ANNOYING (17YRS & UNDER),MISC
CHILD NEGLECT (SEE 300 W.I.C.),MISC
CHILD PORNOGRAPHY,MISC
CHILD STEALING,MISC
CONSPIRACY,MISC
CONTEMPT OF COURT,MISC
CONTRIBUTING,MISC
COUNTERFEIT,MISC
"CREDIT CARDS, FRAUD USE ($950 & UNDER",MISC
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",MISC
CRIMINAL HOMICIDE,MISC
CRIMINAL THREATS - NO WEAPON DISPLAYED,MISC
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,MISC
CRUELTY TO ANIMALS,MISC
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",MISC
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",MISC
DISCHARGE FIREARMS/SHOTS FIRED,MISC
DISHONEST EMPLOYEE - GRAND THEFT,MISC
DISHONEST EMPLOYEE - PETTY THEFT,MISC
DISHONEST EMPLOYEE ATTEMPTED THEFT,MISC
DISRUPT SCHOOL,MISC
DISTURBING THE PEACE,MISC
DOCUMENT FORGERY / STOLEN FELONY,MISC
DOCUMENT WORTHLESS ($200 & UNDER),MISC
DOCUMENT WORTHLESS ($200.01 & OVER),MISC
DRIVING WITHOUT OWNER CONSENT (DWOC),MISC
"DRUGS, TO A MINOR",MISC
DRUNK ROLL,MISC
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",MISC
