Hour,MOTOR VEHICLE THEFT,LARCENY-THEFT,RAPE,DRUG OFFENSE,BURGLARY,AGGRAVATED ASSAULT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ROBBERY,ARSON
0,1336,5048,424,422,1861,551,31,267,23
1,504,1633,92,179,456,263,15,175,13
2,464,1242,101,146,485,216,15,145,15
3,360,993,82,102,432,219,15,121,18
4,363,843,38,75,568,115,11,124,15
5,437,911,37,55,689,117,9,83,12
6,480,1328,34,105,1129,139,4,81,8
7,490,1705,22,153,1783,129,7,67,6
8,585,2593,51,174,1931,183,3,80,9
9,472,2117,35,234,1381,157,6,96,5
10,522,2437,49,207,1403,182,7,105,15
11,448,2402,33,211,1151,229,3,130,3
12,746,4009,75,219,1880,271,7,117,11
13,449,2888,37,241,1007,265,8,154,9
14,524,3373,35,336,1087,328,10,177,14
15,589,3754,60,420,1166,428,7,218,8
16,676,3821,78,386,1244,383,7,174,20
17,851,4423,66,370,1589,422,12,182,20
18,991,4607,71,374,1465,448,14,167,17
19,996,3874,80,310,1050,460,13,215,14
20,1256,4264,86,306,1040,461,18,276,14
21,1417,3766,121,306,955,443,19,268,14
22,1516,3823,112,327,890,376,13,215,18
23,1103,2724,116,235,633,339,13,203,19
