Dispatch_Date,AGGRAVATED ASSAULT,MISC,MOTOR VEHICLE THEFT,BURGLARY,ARSON,ROBBERY,RAPE,DRUG OFFENSE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
2006-01-01,117,275,111,26,1,22,4,49,1
2006-01-02,87,277,109,37,4,26,3,44,2
2006-01-03,89,272,129,41,0,47,2,47,2
2006-01-04,111,304,151,32,1,28,6,66,0
2006-01-05,88,290,107,15,4,24,4,61,1
2006-01-06,95,277,119,23,4,30,3,47,1
2006-01-07,88,296,113,19,2,33,3,56,1
2006-01-08,85,350,98,25,1,32,3,45,0
2006-01-09,100,306,138,35,1,47,2,38,1
2006-01-10,92,272,118,51,1,19,2,71,0
2006-01-11,94,310,135,28,0,27,3,59,0
2006-01-12,87,345,128,38,3,32,3,73,0
2006-01-13,122,262,101,34,3,27,4,46,0
2006-01-14,85,260,109,30,0,32,3,39,2
2006-01-15,82,237,77,20,2,27,1,33,0
2006-01-16,69,356,139,33,1,31,0,31,1
2006-01-17,69,334,112,28,1,20,5,66,0
2006-01-18,92,313,108,41,1,22,0,55,2
2006-01-19,101,323,112,28,1,22,0,59,1
2006-01-20,104,295,125,22,2,28,1,77,0
2006-01-21,98,308,125,27,0,24,2,63,1
2006-01-22,88,330,108,18,0,41,3,43,1
2006-01-23,95,243,144,41,1,33,2,46,1
2006-01-24,119,286,126,41,2,29,5,66,0
2006-01-25,89,263,131,32,0,30,4,62,1
2006-01-26,91,261,109,18,1,17,4,63,1
2006-01-27,108,230,102,25,3,34,7,53,0
2006-01-28,88,332,107,18,0,24,3,46,2
2006-01-29,92,333,120,16,1,33,4,50,0
2006-01-30,108,295,151,28,2,25,5,43,1
2006-01-31,85,292,134,38,1,24,5,59,1
2006-02-01,110,352,128,19,2,28,0,78,1
2006-02-02,76,359,124,20,0,22,1,75,1
2006-02-03,84,302,130,21,0,29,3,46,3
2006-02-04,93,273,113,22,1,17,2,52,1
2006-02-05,89,317,114,17,0,26,3,47,1
2006-02-06,90,223,128,34,1,24,1,49,1
2006-02-07,113,299,105,27,1,25,3,83,2
2006-02-08,109,291,129,22,3,14,1,62,0
